rtcDate,rtcTime,gps_Lat,gps_Long,gps_AltMSL,gps_GroundSpeed,humidity_%,degC,
10/06/2024,16:30:45.25,376969715,-1217753068,140769,1731,11.93,38.47,
10/06/2024,16:30:46.26,376967260,-1217753103,135229,41,12.02,38.50,
10/06/2024,16:30:47.26,376967033,-1217753044,134064,20,11.99,38.49,
10/06/2024,16:30:48.27,376967034,-1217752960,133841,4,12.09,38.48,
10/06/2024,16:30:49.28,376967014,-1217752980,133856,64,12.13,38.43,
10/06/2024,16:30:50.28,376967014,-1217752945,136117,21,12.09,38.53,
10/06/2024,16:30:51.97,376967033,-1217752919,137209,15,12.05,38.55,
10/06/2024,16:30:52.97,376967044,-1217752889,137659,10,12.04,38.52,
10/06/2024,16:30:53.98,376967064,-1217752873,138252,2,11.97,38.47,
10/06/2024,16:30:54.99,376967065,-1217752854,139873,10,12.02,38.46,
10/06/2024,16:30:55.99,376967033,-1217752842,140730,9,12.04,38.47,
10/06/2024,16:30:57.00,376967020,-1217752827,141316,160,12.11,38.51,
10/06/2024,16:30:58.01,376967004,-1217752813,141626,325,12.16,38.53,
10/06/2024,16:30:59.02,376966974,-1217752798,141652,540,12.13,38.50,
10/06/2024,16:31:00.02,376966919,-1217752776,141901,656,12.09,38.46,
10/06/2024,16:31:01.03,376966859,-1217752753,141966,996,12.18,38.49,
10/06/2024,16:31:02.04,376966769,-1217752734,143232,661,12.04,38.33,
10/06/2024,16:31:03.04,376966695,-1217752734,145941,1250,12.01,38.28,
10/06/2024,16:31:04.93,376966498,-1217752684,145941,98,12.03,38.19,
10/06/2024,16:31:06.92,376966377,-1217752696,146713,33,11.97,38.14,
10/06/2024,16:31:07.97,376966380,-1217752690,146886,632,11.97,38.14,
10/06/2024,16:31:08.98,376966408,-1217752642,146885,1576,12.06,38.10,
10/06/2024,16:31:09.99,376966459,-1217752502,146624,2263,12.06,38.01,
10/06/2024,16:31:10.99,376966476,-1217752261,146337,3151,12.07,37.98,
10/06/2024,16:31:12.00,376966423,-1217751923,146208,3953,12.00,37.90,
10/06/2024,16:31:13.01,376966312,-1217751500,146095,4606,12.17,37.87,
10/06/2024,16:31:14.02,376966149,-1217751022,146129,5019,12.18,37.84,
10/06/2024,16:31:15.02,376965887,-1217750566,145901,5489,12.25,37.74,
10/06/2024,16:31:16.03,376965513,-1217750165,145352,5759,12.16,37.68,
10/06/2024,16:31:17.04,376965117,-1217749740,144903,5522,12.23,37.67,
10/06/2024,16:31:18.04,376964792,-1217749250,144649,5033,12.27,37.62,
10/06/2024,16:31:19.05,376964576,-1217748721,144990,5478,12.19,37.59,
10/06/2024,16:31:20.06,376964428,-1217748138,145256,5461,12.34,37.56,
10/06/2024,16:31:21.06,376964311,-1217747530,145469,5133,12.39,37.52,
10/06/2024,16:31:22.07,376964212,-1217746948,145386,4706,12.32,37.49,
10/06/2024,16:31:23.08,376964233,-1217746404,145092,4440,12.35,37.44,
10/06/2024,16:31:24.09,376964405,-1217745955,144684,4395,12.46,37.48,
10/06/2024,16:31:25.09,376964703,-1217745664,144355,4394,12.45,37.58,
10/06/2024,16:31:26.10,376965072,-1217745550,144149,4338,12.41,37.55,
10/06/2024,16:31:27.11,376965455,-1217745555,143906,4597,12.42,37.61,
10/06/2024,16:31:28.11,376965855,-1217745597,143694,4955,12.45,37.64,
10/06/2024,16:31:29.12,376966285,-1217745644,143595,5030,12.42,37.59,
10/06/2024,16:31:30.13,376966727,-1217745688,143421,5332,12.39,37.56,
10/06/2024,16:31:31.13,376967190,-1217745744,143347,5750,12.41,37.51,
10/06/2024,16:31:32.14,376967688,-1217745823,143371,6272,12.38,37.51,
10/06/2024,16:31:33.15,376968229,-1217745897,143253,6824,12.43,37.49,
10/06/2024,16:31:34.15,376968818,-1217745981,143092,7111,12.46,37.48,
10/06/2024,16:31:35.16,376969443,-1217746066,143141,7111,12.54,37.51,
10/06/2024,16:31:36.17,376970715,-1217746228,143114,7123,12.45,37.55,
10/06/2024,16:31:37.17,376971349,-1217746307,143081,7111,12.49,37.51,
10/06/2024,16:31:38.18,376971962,-1217746366,142997,6784,12.49,37.48,
10/06/2024,16:31:39.19,376972568,-1217746423,142842,6789,12.74,37.50,
10/06/2024,16:31:40.19,376973171,-1217746490,142655,6767,12.66,37.47,
10/06/2024,16:31:41.20,376973735,-1217746544,142478,6182,12.93,37.44,
10/06/2024,16:31:42.21,376974189,-1217746583,142368,4662,13.15,37.37,
10/06/2024,16:31:43.21,376974526,-1217746601,142226,3457,13.17,37.35,
10/06/2024,16:31:44.22,376974809,-1217746553,142119,3204,13.08,37.34,
10/06/2024,16:31:45.23,376975021,-1217746378,141893,2856,13.05,37.36,
10/06/2024,16:31:46.23,376975181,-1217746088,141762,3325,13.09,37.39,
10/06/2024,16:31:47.24,376975294,-1217745648,141733,4491,13.11,37.39,
10/06/2024,16:31:48.25,376975349,-1217745050,141800,5682,12.99,37.47,
10/06/2024,16:31:49.25,376975376,-1217744324,141833,6697,12.88,37.47,
10/06/2024,16:31:50.26,376975392,-1217743495,141842,7545,12.84,37.41,
10/06/2024,16:31:51.27,376975417,-1217742632,141915,7650,12.80,37.45,
10/06/2024,16:31:52.27,376975462,-1217741757,141908,7766,12.93,37.38,
10/06/2024,16:31:53.28,376975519,-1217740906,142011,7433,12.94,37.39,
10/06/2024,16:31:54.29,376975572,-1217740111,142087,6869,12.83,37.41,
10/06/2024,16:31:55.29,376975619,-1217739409,142110,5925,13.01,37.41,
10/06/2024,16:31:56.30,376975660,-1217738827,142181,4834,13.20,37.46,
10/06/2024,16:31:57.30,376975687,-1217738356,142190,3881,13.03,37.38,
10/06/2024,16:31:58.31,376975708,-1217737964,142194,3296,13.00,37.37,
10/06/2024,16:31:59.32,376975723,-1217737560,142181,3693,12.85,37.38,
10/06/2024,16:32:00.32,376975748,-1217737048,142234,4874,12.67,37.33,
10/06/2024,16:32:01.33,376975780,-1217736373,142306,6432,12.67,37.41,
10/06/2024,16:32:02.34,376975823,-1217735573,142391,7342,12.81,37.47,
10/06/2024,16:32:03.34,376975868,-1217734698,142356,7896,12.57,37.36,
10/06/2024,16:32:04.35,376975935,-1217733731,142289,8835,12.60,37.40,
10/06/2024,16:32:05.36,376976033,-1217732669,142266,9678,12.71,37.44,
10/06/2024,16:32:06.36,376976174,-1217731522,142325,10475,12.58,37.43,
10/06/2024,16:32:07.37,376976344,-1217730306,142301,11080,12.57,37.42,
10/06/2024,16:32:08.38,376976535,-1217729045,142384,11437,12.64,37.51,
10/06/2024,16:32:09.38,376976758,-1217727740,142468,11914,12.61,37.45,
10/06/2024,16:32:10.39,376977003,-1217726380,142566,12456,12.62,37.38,
10/06/2024,16:32:11.40,376977271,-1217724969,142578,12940,12.53,37.39,
10/06/2024,16:32:12.40,376977543,-1217723512,142643,13319,12.68,37.43,
10/06/2024,16:32:13.41,376977821,-1217722010,142809,13733,12.57,37.49,
10/06/2024,16:32:14.42,376978107,-1217720470,142718,14020,12.40,37.56,
10/06/2024,16:32:15.42,376978394,-1217718902,143230,14291,12.53,37.56,
10/06/2024,16:32:16.43,376978705,-1217717304,143350,14627,12.49,37.64,
10/06/2024,16:32:17.44,376979026,-1217715664,143516,15016,12.36,37.69,
10/06/2024,16:32:18.44,376979347,-1217713999,143574,15171,12.36,37.73,
10/06/2024,16:32:19.45,376979678,-1217712349,143719,14991,12.27,37.76,
10/06/2024,16:32:20.45,376980005,-1217710726,143832,14691,12.26,37.79,
10/06/2024,16:32:21.46,376980326,-1217709124,143970,14551,12.20,37.76,
10/06/2024,16:32:22.47,376980639,-1217707521,144181,14584,12.23,37.77,
10/06/2024,16:32:23.47,376980948,-1217705896,144341,14837,12.18,37.68,
10/06/2024,16:32:24.48,376981252,-1217704247,144489,15006,12.20,37.81,
10/06/2024,16:32:25.49,376981569,-1217702582,144728,15163,12.23,37.96,
10/06/2024,16:32:26.49,376981897,-1217700923,144831,15080,12.10,38.04,
10/06/2024,16:32:27.50,376982203,-1217699383,145008,13578,12.09,38.19,
10/06/2024,16:32:28.51,376982484,-1217697944,145203,12882,12.10,38.25,
10/06/2024,16:32:29.51,376982750,-1217696509,145515,13061,12.08,38.16,
10/06/2024,16:32:30.52,376983022,-1217695047,145602,13307,12.05,38.21,
10/06/2024,16:32:31.53,376983301,-1217693543,145753,13738,12.03,38.17,
10/06/2024,16:32:32.53,376983592,-1217691993,145868,14182,11.91,38.27,
10/06/2024,16:32:33.54,376983898,-1217690401,146003,14544,11.79,38.47,
10/06/2024,16:32:34.55,376984223,-1217688787,146182,14765,11.82,38.37,
10/06/2024,16:32:35.55,376984565,-1217687157,146363,14929,11.93,38.28,
10/06/2024,16:32:36.56,376984903,-1217685510,146578,15046,11.99,38.17,
10/06/2024,16:32:37.56,376985216,-1217683843,146735,15137,11.91,38.11,
10/06/2024,16:32:38.57,376985480,-1217682145,146663,15291,12.07,38.07,
10/06/2024,16:32:39.58,376985638,-1217680421,146520,15329,12.06,37.88,
10/06/2024,16:32:40.58,376985713,-1217678675,146285,15458,12.12,37.86,
10/06/2024,16:32:41.59,376985744,-1217676919,146123,15500,12.05,37.97,
10/06/2024,16:32:42.60,376985791,-1217675167,146020,15418,12.08,37.94,
10/06/2024,16:32:43.60,376985864,-1217673435,146294,15252,12.19,37.86,
10/06/2024,16:32:44.61,376986014,-1217671708,146225,15376,12.14,37.84,
10/06/2024,16:32:45.62,376986243,-1217669989,146019,15368,12.13,37.72,
10/06/2024,16:32:46.62,376986496,-1217668274,145978,15385,12.11,37.68,
10/06/2024,16:32:47.63,376986729,-1217666563,145976,15282,12.30,37.64,
10/06/2024,16:32:48.64,376986958,-1217664856,146165,15258,12.31,37.61,
10/06/2024,16:32:49.64,376987204,-1217663160,146214,15181,12.32,37.66,
10/06/2024,16:32:50.65,376987488,-1217661479,146409,15149,12.37,37.72,
10/06/2024,16:32:51.66,376987800,-1217659807,146728,15137,12.55,37.65,
10/06/2024,16:32:52.66,376988118,-1217658129,146903,15253,12.65,37.65,
10/06/2024,16:32:53.67,376988446,-1217656445,147115,15319,12.59,37.63,
10/06/2024,16:32:54.67,376988446,-1217653075,147672,15382,12.56,37.61,
10/06/2024,16:32:55.95,376989132,-1217651393,147915,15402,12.63,37.61,
10/06/2024,16:32:56.95,376989502,-1217649716,148109,15386,12.58,37.58,
10/06/2024,16:32:57.96,376989885,-1217648037,148212,15460,12.56,37.56,
10/06/2024,16:32:58.97,376990278,-1217646357,148232,15454,12.61,37.45,
10/06/2024,16:32:59.97,376990672,-1217644677,148180,15471,12.58,37.41,
10/06/2024,16:33:00.98,376991074,-1217642999,148202,15443,12.68,37.40,
10/06/2024,16:33:01.99,376991474,-1217641327,148237,15401,12.59,37.31,
10/06/2024,16:33:02.99,376991876,-1217639658,148219,15384,12.56,37.28,
10/06/2024,16:33:04.00,376992281,-1217637992,148284,15353,12.53,37.25,
10/06/2024,16:33:05.00,376992686,-1217636323,148256,15377,12.57,37.24,
10/06/2024,16:33:06.01,376993087,-1217634658,148175,15325,12.62,37.18,
