rtcDate,rtcTime,gps_Lat,gps_Long,gps_AltMSL,gps_GroundSpeed,humidity_%,degC,
10/06/2024,16:31:00.45,376966877,-1217753939,126126,147,10.84,39.11,
10/06/2024,16:31:01.47,376966684,-1217753899,130157,33,10.88,39.13,
10/06/2024,16:31:02.48,376966672,-1217753929,130198,1,10.90,39.05,
10/06/2024,16:31:03.50,376966667,-1217753978,129759,36,11.05,39.06,
10/06/2024,16:31:04.51,376966667,-1217754020,129212,44,11.05,39.16,
10/06/2024,16:31:06.41,376966696,-1217754023,129885,24,10.99,39.11,
10/06/2024,16:31:07.42,376966679,-1217754005,130394,17,11.06,39.17,
10/06/2024,16:31:08.44,376966675,-1217753994,130754,5,10.99,39.14,
10/06/2024,16:31:09.45,376966666,-1217753983,130972,13,11.20,39.22,
10/06/2024,16:31:10.47,376966662,-1217753975,131096,13,11.44,39.17,
10/06/2024,16:31:11.48,376966662,-1217753971,131172,6,11.29,39.24,
10/06/2024,16:31:12.50,376966663,-1217753965,131356,3,11.11,39.08,
10/06/2024,16:31:13.51,376966664,-1217753961,131543,13,11.26,39.23,
10/06/2024,16:31:14.53,376966665,-1217753958,131778,9,11.31,39.25,
10/06/2024,16:31:15.54,376966664,-1217753954,131978,6,11.32,39.14,
10/06/2024,16:31:16.56,376966665,-1217753950,132161,4,11.16,39.24,
10/06/2024,16:31:17.57,376966666,-1217753944,132335,18,11.29,39.20,
10/06/2024,16:31:18.59,376966667,-1217753941,132536,20,11.29,39.25,
10/06/2024,16:31:19.60,376966667,-1217753939,132708,13,11.28,39.24,
10/06/2024,16:31:20.62,376966668,-1217753936,132887,1,11.18,39.24,
10/06/2024,16:31:21.63,376966668,-1217753933,133044,2,11.20,39.23,
10/06/2024,16:31:22.65,376966667,-1217753930,133206,7,11.29,39.23,
10/06/2024,16:31:23.66,376966667,-1217753927,133388,12,11.28,39.33,
10/06/2024,16:31:24.68,376966666,-1217753924,133537,7,11.38,39.24,
10/06/2024,16:31:25.69,376966666,-1217753923,133669,10,11.51,39.32,
10/06/2024,16:31:26.71,376966667,-1217753922,133803,2,11.71,39.28,
10/06/2024,16:31:27.72,376966668,-1217753921,133935,3,11.73,39.34,
10/06/2024,16:31:28.74,376966669,-1217753921,134062,14,11.38,39.27,
10/06/2024,16:31:29.75,376966670,-1217753921,134165,6,11.23,39.29,
10/06/2024,16:31:30.77,376966671,-1217753921,134254,4,11.38,39.32,
10/06/2024,16:31:31.78,376966673,-1217753922,134326,10,11.31,39.36,
10/06/2024,16:31:32.80,376966674,-1217753924,134342,25,11.46,39.32,
10/06/2024,16:31:33.81,376966676,-1217753924,134423,22,11.18,39.32,
10/06/2024,16:31:34.83,376966679,-1217753922,134501,19,11.00,39.34,
10/06/2024,16:31:35.84,376966681,-1217753920,134583,1,10.94,39.37,
10/06/2024,16:31:36.86,376966682,-1217753917,134709,8,10.68,39.30,
10/06/2024,16:31:37.87,376966682,-1217753915,134785,16,10.83,39.31,
10/06/2024,16:31:38.89,376966684,-1217753913,134862,6,10.76,39.34,
10/06/2024,16:31:39.90,376966685,-1217753911,134923,4,10.70,39.30,
10/06/2024,16:31:40.92,376966687,-1217753908,134999,6,10.73,39.34,
10/06/2024,16:31:41.93,376966688,-1217753906,135083,7,10.75,39.36,
10/06/2024,16:31:42.95,376966689,-1217753904,135141,12,10.76,39.35,
10/06/2024,16:31:43.96,376966690,-1217753904,135218,1,10.82,39.36,
10/06/2024,16:31:45.37,376966692,-1217753899,135267,13,10.89,39.37,
10/06/2024,16:31:46.38,376966693,-1217753895,135292,2,10.95,39.49,
10/06/2024,16:31:47.40,376966694,-1217753893,135294,3,10.80,39.36,
10/06/2024,16:31:48.41,376966695,-1217753891,135298,7,10.64,39.33,
10/06/2024,16:31:49.43,376966696,-1217753888,135306,14,10.67,39.40,
10/06/2024,16:31:50.44,376966696,-1217753886,135318,11,10.74,39.35,
10/06/2024,16:31:51.46,376966697,-1217753884,135324,7,10.80,39.44,
10/06/2024,16:31:52.47,376966698,-1217753882,135353,6,10.59,39.41,
10/06/2024,16:31:53.49,376966698,-1217753880,135383,10,10.57,39.37,
10/06/2024,16:31:54.50,376966698,-1217753877,135433,20,10.77,39.41,
10/06/2024,16:31:55.52,376966697,-1217753875,135450,19,10.73,39.35,
10/06/2024,16:31:56.53,376966698,-1217753873,135457,7,10.70,39.34,
10/06/2024,16:31:57.55,376966698,-1217753871,135485,4,10.75,39.41,
