rtcDate,rtcTime,gps_Lat,gps_Long,gps_AltMSL,gps_GroundSpeed,humidity_%,degC,
09/04/2024,19:16:02.42,0,0,-17000,0,24.52,29.67,
09/04/2024,19:16:03.43,0,0,-17000,0,24.72,29.59,
09/04/2024,19:16:04.44,0,0,-17000,0,24.58,29.57,
09/04/2024,19:16:05.44,0,0,-17000,0,24.44,29.60,
09/04/2024,19:16:06.45,0,0,-17000,0,24.35,29.61,
09/04/2024,19:16:07.46,0,0,-17000,0,24.38,29.54,
09/04/2024,19:16:08.46,0,0,-17000,0,24.38,29.60,
09/04/2024,19:16:09.47,0,0,-17000,0,24.33,29.64,
09/04/2024,19:16:10.48,0,0,-17000,0,24.60,29.58,
09/04/2024,19:16:11.48,0,0,-17000,0,25.10,29.66,
09/04/2024,19:16:12.49,0,0,-17000,0,25.49,29.52,
09/04/2024,19:16:13.50,0,0,-17000,0,25.16,29.57,
09/04/2024,19:16:14.50,0,0,-17000,0,25.38,29.65,
09/04/2024,19:16:15.51,0,0,-17000,0,25.41,29.64,
09/04/2024,19:16:16.52,0,0,-17000,0,25.31,29.71,
09/04/2024,19:16:17.52,0,0,-17000,0,25.10,29.62,
09/04/2024,19:16:18.53,0,0,-17000,0,24.69,29.65,
09/04/2024,19:16:19.54,0,0,-17000,0,24.62,29.71,
09/04/2024,19:16:20.54,0,0,-17000,0,24.46,29.61,
09/04/2024,19:16:21.55,0,0,-17000,0,24.52,29.66,
09/04/2024,19:16:22.56,0,0,-17000,0,24.27,29.59,
09/04/2024,19:16:23.56,0,0,-17000,0,24.39,29.62,
09/04/2024,19:16:24.57,0,0,-17000,0,24.37,29.63,
09/04/2024,19:16:25.58,0,0,-17000,0,24.37,29.74,
09/04/2024,19:16:26.59,0,0,-17000,0,24.38,29.60,
09/04/2024,19:16:27.59,0,0,-17000,0,24.31,29.61,
09/04/2024,19:16:28.60,0,0,-17000,0,24.24,29.59,
09/04/2024,19:16:29.61,0,0,-17000,0,24.28,29.59,
09/04/2024,19:16:30.61,0,0,-17000,0,24.16,29.62,
09/04/2024,19:16:31.62,376553837,-1216612396,279348,18,24.33,29.58,
09/04/2024,19:16:32.63,376553837,-1216612400,279341,26,24.31,29.67,
09/04/2024,19:16:33.63,376553833,-1216612409,279337,5,24.15,29.58,
09/04/2024,19:16:34.64,376553835,-1216612412,279299,43,24.21,29.64,
09/04/2024,19:16:35.65,376553837,-1216612413,279355,26,24.26,29.61,
09/04/2024,19:16:36.65,376553872,-1216612394,279613,48,24.27,29.67,
09/04/2024,19:16:37.66,376553902,-1216612377,279798,8,24.40,29.63,
09/04/2024,19:16:38.67,376553936,-1216612360,279964,18,24.33,29.66,
09/04/2024,19:16:39.68,376553961,-1216612348,280061,6,24.39,29.65,
09/04/2024,19:16:40.68,376554038,-1216612322,280051,11,24.35,29.62,
09/04/2024,19:16:41.69,376554088,-1216612306,279990,9,24.42,29.57,
09/04/2024,19:16:42.70,376554132,-1216612291,279947,9,24.28,29.62,
09/04/2024,19:16:43.70,376554169,-1216612279,279881,3,24.26,29.59,
09/04/2024,19:16:44.71,376554205,-1216612267,279856,14,24.19,29.65,
09/04/2024,19:16:45.72,376554236,-1216612254,279828,19,24.26,29.55,
09/04/2024,19:16:46.72,376554260,-1216612246,279824,13,24.22,29.69,
09/04/2024,19:16:47.73,376554276,-1216612243,279856,11,24.09,29.53,
09/04/2024,19:16:48.74,376554276,-1216612243,279941,11,24.26,29.64,
09/04/2024,19:16:51.14,376554305,-1216612238,279976,4,24.24,29.62,
09/04/2024,19:16:52.20,376554313,-1216612238,280002,2,24.23,29.67,
09/04/2024,19:16:53.21,376554319,-1216612237,280033,4,24.14,29.63,
09/04/2024,19:16:54.21,376554326,-1216612237,280065,1,24.25,29.53,
09/04/2024,19:16:55.22,376554330,-1216612239,280115,7,24.38,29.62,
09/04/2024,19:16:56.23,376554336,-1216612241,280176,9,24.28,29.60,
09/04/2024,19:16:57.23,376554340,-1216612243,280214,6,24.17,29.63,
09/04/2024,19:16:58.24,376554344,-1216612245,280226,3,24.29,29.64,
09/04/2024,19:16:59.25,376554345,-1216612247,280258,2,24.27,29.63,
09/04/2024,19:17:00.26,376554348,-1216612248,280292,3,24.16,29.60,
09/04/2024,19:17:01.26,376554350,-1216612250,280329,3,24.31,29.61,
09/04/2024,19:17:02.27,376554351,-1216612252,280386,8,24.23,29.67,
09/04/2024,19:17:03.28,376554350,-1216612253,280386,2,24.30,29.64,
09/04/2024,19:17:05.16,376554350,-1216612255,280457,3,24.27,29.61,
09/04/2024,19:17:06.17,376554351,-1216612256,280465,4,24.04,29.58,
09/04/2024,19:17:07.18,376554352,-1216612257,280475,4,24.21,29.60,
09/04/2024,19:17:08.18,376554352,-1216612259,280482,1,24.23,29.57,
09/04/2024,19:17:09.19,376554353,-1216612260,280483,9,24.26,29.69,
09/04/2024,19:17:10.20,376554353,-1216612260,280475,7,24.19,29.66,
09/04/2024,19:17:11.20,376554353,-1216612261,280487,9,24.41,29.60,
09/04/2024,19:17:12.21,376554353,-1216612262,280502,17,24.32,29.60,
09/04/2024,19:17:13.22,376554354,-1216612261,280509,9,24.17,29.52,
09/04/2024,19:17:14.23,376554355,-1216612262,280527,6,24.30,29.57,
09/04/2024,19:17:15.27,376554355,-1216612262,280531,17,24.24,29.68,
09/04/2024,19:17:16.27,376554355,-1216612262,280546,11,24.22,29.55,
09/04/2024,19:17:17.28,376554355,-1216612264,280555,6,24.33,29.58,
09/04/2024,19:17:18.29,376554354,-1216612266,280565,21,24.43,29.59,
09/04/2024,19:17:19.29,376554353,-1216612268,280568,18,24.47,29.59,
09/04/2024,19:17:20.30,376554352,-1216612270,280574,11,24.56,29.63,
09/04/2024,19:17:21.31,376554350,-1216612271,280573,9,24.56,29.68,
09/04/2024,19:17:22.32,376554349,-1216612272,280584,9,24.73,29.60,
09/04/2024,19:17:23.32,376554346,-1216612273,280586,7,24.65,29.55,
09/04/2024,19:17:24.33,376554344,-1216612274,280610,5,24.82,29.61,
09/04/2024,19:17:25.34,376554342,-1216612276,280609,20,24.67,29.67,
09/04/2024,19:17:26.35,376554341,-1216612277,280619,10,24.62,29.62,
09/04/2024,19:17:27.35,376554340,-1216612278,280619,1,24.57,29.62,
09/04/2024,19:17:28.36,376554339,-1216612278,280610,8,24.64,29.68,
09/04/2024,19:17:29.37,376554337,-1216612280,280623,2,24.64,29.61,
09/04/2024,19:17:30.37,376554336,-1216612281,280634,5,24.59,29.56,
09/04/2024,19:17:31.38,376554334,-1216612283,280637,2,24.56,29.59,
09/04/2024,19:17:32.39,376554331,-1216612285,280648,9,24.57,29.58,
09/04/2024,19:17:33.40,376554328,-1216612286,280650,5,24.62,29.65,
09/04/2024,19:17:34.40,376554326,-1216612287,280675,3,24.55,29.65,
09/04/2024,19:17:35.41,376554324,-1216612287,280701,8,24.42,29.61,
09/04/2024,19:17:36.42,376554321,-1216612288,280703,6,24.42,29.61,
09/04/2024,19:17:37.43,376554318,-1216612289,280702,3,24.42,29.57,
09/04/2024,19:17:38.43,376554315,-1216612290,280723,12,24.33,29.64,
09/04/2024,19:17:39.44,376554312,-1216612291,280741,14,24.35,29.57,
09/04/2024,19:17:40.45,376554309,-1216612292,280773,13,24.51,29.52,
09/04/2024,19:17:41.45,376554305,-1216612293,280777,15,24.51,29.69,
09/04/2024,19:17:42.46,376554302,-1216612293,280762,23,24.29,29.63,
09/04/2024,19:17:43.47,376554299,-1216612294,280786,10,24.43,29.58,
09/04/2024,19:17:44.48,376554297,-1216612293,280815,7,24.43,29.53,
09/04/2024,19:17:45.48,376554297,-1216612294,280806,15,24.41,29.61,
09/04/2024,19:17:47.16,376554290,-1216612295,280784,4,24.43,29.60,
09/04/2024,19:17:48.17,376554287,-1216612295,280781,2,24.32,29.57,
09/04/2024,19:17:49.18,376554285,-1216612297,280783,4,24.39,29.57,
09/04/2024,19:17:50.19,376554280,-1216612298,280783,7,24.32,29.57,
09/04/2024,19:17:51.19,376554276,-1216612299,280788,4,24.22,29.52,
09/04/2024,19:17:52.20,376554273,-1216612300,280779,16,24.40,29.52,
09/04/2024,19:17:53.21,376554269,-1216612301,280803,8,24.34,29.57,
09/04/2024,19:17:54.21,376554266,-1216612301,280811,2,24.32,29.61,
09/04/2024,19:17:55.22,376554264,-1216612302,280825,0,24.38,29.51,
09/04/2024,19:17:56.23,376554262,-1216612303,280852,9,24.23,29.57,
09/04/2024,19:17:57.24,376554260,-1216612304,280873,8,24.34,29.55,
09/04/2024,19:17:58.24,376554258,-1216612305,280886,8,24.32,29.64,
09/04/2024,19:17:59.25,376554256,-1216612305,280950,8,24.60,29.55,
09/04/2024,19:18:01.14,376554252,-1216612307,280957,2,24.60,29.61,
09/04/2024,19:18:02.19,376554249,-1216612309,280980,4,24.66,29.45,
09/04/2024,19:18:03.20,376554247,-1216612310,280980,2,24.63,29.50,
09/04/2024,19:18:05.19,376554244,-1216612313,281043,19,24.60,29.53,
09/04/2024,19:18:06.19,376554242,-1216612314,281070,9,24.55,29.54,
09/04/2024,19:18:07.20,376554240,-1216612316,281080,13,24.64,29.66,
09/04/2024,19:18:08.21,376554239,-1216612317,281105,10,24.60,29.52,
09/04/2024,19:18:09.22,376554239,-1216612317,281131,6,24.72,29.57,
09/04/2024,19:18:10.22,376554239,-1216612318,281157,7,24.87,29.65,
09/04/2024,19:18:11.23,376554239,-1216612319,281183,2,24.63,29.57,
09/04/2024,19:18:12.24,376554240,-1216612319,281197,2,24.62,29.56,
09/04/2024,19:18:13.25,376554240,-1216612320,281208,3,24.65,29.64,
09/04/2024,19:18:14.25,376554241,-1216612320,281243,5,24.56,29.55,
09/04/2024,19:18:15.26,376554241,-1216612321,281265,19,24.53,29.56,
09/04/2024,19:18:16.27,376554243,-1216612321,281258,14,24.53,29.53,
