rtcDate,rtcTime,gps_Lat,gps_Long,gps_AltMSL,gps_GroundSpeed,humidity_%,degC,
09/03/2024,21:25:28.37,376965247,-1217753277,123701,312,37.87,25.15,
09/03/2024,21:25:29.37,376965171,-1217753430,128625,15,37.92,25.24,
09/03/2024,21:25:30.37,376965313,-1217753361,133322,69,37.67,25.17,
09/03/2024,21:25:31.37,376965349,-1217753397,133375,4,37.71,25.21,
09/03/2024,21:25:32.38,376965343,-1217753410,133911,10,37.71,25.14,
09/03/2024,21:25:33.38,376965363,-1217753397,133355,28,37.72,25.10,
09/03/2024,21:25:34.38,376965349,-1217753392,132916,14,37.68,25.18,
09/03/2024,21:25:35.38,376965352,-1217753384,132649,5,37.57,25.16,
09/03/2024,21:25:36.38,376965361,-1217753383,132583,12,37.60,25.12,
09/03/2024,21:25:37.38,376965368,-1217753386,132443,7,37.68,25.15,
09/03/2024,21:25:38.38,376965377,-1217753380,132299,18,37.65,25.14,
09/03/2024,21:25:39.38,376965386,-1217753380,132150,4,37.73,25.13,
09/03/2024,21:25:40.38,376965394,-1217753382,132089,10,37.83,25.12,
09/03/2024,21:25:41.38,376965403,-1217753383,132120,20,38.05,25.15,
09/03/2024,21:25:42.38,376965409,-1217753387,132119,13,38.27,25.14,
09/03/2024,21:25:43.38,376965415,-1217753388,132078,14,38.39,25.11,
09/03/2024,21:25:44.39,376965414,-1217753388,132026,13,38.68,25.11,
09/03/2024,21:25:45.39,376965424,-1217753382,132017,10,38.77,25.12,
09/03/2024,21:25:46.39,376965433,-1217753376,132009,11,38.88,25.07,
09/03/2024,21:25:47.39,376965442,-1217753372,132011,10,39.14,25.13,
09/03/2024,21:25:48.39,376965450,-1217753367,131991,5,39.14,25.15,
09/03/2024,21:25:49.39,376965460,-1217753362,132008,3,39.10,25.18,
09/03/2024,21:25:50.39,376965469,-1217753357,132013,9,39.18,25.14,
09/03/2024,21:25:51.39,376965480,-1217753352,132026,6,39.16,25.07,
09/03/2024,21:25:52.39,376965489,-1217753349,132042,5,39.21,25.18,
09/03/2024,21:25:53.39,376965498,-1217753345,132065,11,39.19,25.13,
09/03/2024,21:25:54.40,376965507,-1217753341,132085,12,39.25,25.20,
09/03/2024,21:25:55.40,376965516,-1217753337,132050,13,39.11,25.13,
09/03/2024,21:25:56.40,376965525,-1217753332,132048,16,39.03,25.11,
09/03/2024,21:25:57.40,376965532,-1217753327,132054,9,39.10,25.18,
09/03/2024,21:25:58.40,376965534,-1217753323,132023,52,39.18,25.15,
09/03/2024,21:25:59.40,376965538,-1217753319,132055,18,39.09,25.10,
09/03/2024,21:26:00.40,376965543,-1217753317,132107,5,39.26,25.07,
09/03/2024,21:26:01.40,376965549,-1217753311,132135,12,39.11,25.14,
09/03/2024,21:26:02.40,376965556,-1217753305,132258,9,39.29,25.16,
09/03/2024,21:26:03.40,376965564,-1217753297,132356,12,39.13,25.17,
09/03/2024,21:26:04.40,376965573,-1217753289,132460,9,38.98,25.12,
09/03/2024,21:26:05.40,376965578,-1217753282,132552,3,39.01,25.11,
09/03/2024,21:26:06.41,376965587,-1217753274,132658,1,39.00,25.13,
09/03/2024,21:26:07.41,376965597,-1217753266,132749,16,39.04,25.18,
09/03/2024,21:26:08.41,376965607,-1217753259,132825,8,38.88,25.17,
09/03/2024,21:26:09.41,376965617,-1217753254,132901,9,38.92,25.13,
09/03/2024,21:26:10.41,376965627,-1217753247,132971,8,38.77,25.10,
09/03/2024,21:26:11.41,376965637,-1217753242,133027,14,38.59,25.10,
09/03/2024,21:26:12.41,376965647,-1217753237,133106,6,38.42,25.11,
09/03/2024,21:26:13.41,376965655,-1217753233,133160,9,38.34,25.10,
09/03/2024,21:26:14.41,376965662,-1217753231,133183,2,38.22,25.15,
09/03/2024,21:26:15.41,376965666,-1217753229,133194,8,37.98,25.11,
09/03/2024,21:26:16.41,376965671,-1217753228,133221,9,38.05,25.15,
09/03/2024,21:26:17.42,376965674,-1217753228,133213,3,38.01,25.11,
09/03/2024,21:26:18.42,376965679,-1217753229,133207,6,38.07,25.18,
09/03/2024,21:26:19.42,376965684,-1217753228,133173,17,38.15,25.12,
09/03/2024,21:26:20.42,376965687,-1217753228,133157,15,38.18,25.09,
09/03/2024,21:26:21.42,376965688,-1217753229,133147,6,38.21,25.12,
09/03/2024,21:26:22.42,376965689,-1217753230,133163,7,38.11,25.09,
09/03/2024,21:26:23.42,376965691,-1217753230,133186,18,37.97,25.12,
09/03/2024,21:26:24.42,376965693,-1217753230,133194,13,38.11,25.11,
09/03/2024,21:26:25.42,376965695,-1217753229,133193,8,38.08,25.07,
09/03/2024,21:26:26.42,376965698,-1217753228,133212,11,38.12,25.13,
09/03/2024,21:26:27.42,376965699,-1217753228,133197,13,38.01,25.12,
09/03/2024,21:26:28.43,376965700,-1217753227,133204,10,37.95,25.07,
09/03/2024,21:26:29.43,376965703,-1217753226,133220,14,37.89,25.13,
09/03/2024,21:26:30.43,376965705,-1217753225,133229,5,37.85,25.13,
09/03/2024,21:26:31.43,376965707,-1217753225,133230,6,37.82,25.12,
09/03/2024,21:26:32.43,376965710,-1217753224,133256,1,37.72,25.11,
09/03/2024,21:26:33.43,376965712,-1217753222,133280,5,37.50,25.10,
09/03/2024,21:26:34.43,376965713,-1217753221,133302,5,37.30,25.11,
09/03/2024,21:26:35.43,376965714,-1217753218,133346,2,37.22,25.13,
09/03/2024,21:26:36.43,376965714,-1217753216,133382,3,37.23,25.15,
09/03/2024,21:26:37.43,376965713,-1217753215,133440,11,37.10,25.13,
09/03/2024,21:26:38.43,376965713,-1217753213,133507,11,37.05,25.15,
09/03/2024,21:26:39.43,376965711,-1217753212,133597,6,37.09,25.11,
09/03/2024,21:26:40.44,376965710,-1217753209,133684,8,37.02,25.11,
09/03/2024,21:26:41.44,376965706,-1217753207,133770,5,37.07,25.13,
09/03/2024,21:26:42.44,376965706,-1217753206,133829,10,37.14,25.14,
09/03/2024,21:26:43.44,376965706,-1217753206,133862,9,37.24,25.06,
09/03/2024,21:26:44.44,376965705,-1217753206,133885,7,37.32,25.15,
09/03/2024,21:26:45.44,376965705,-1217753206,133910,25,37.40,25.14,
09/03/2024,21:26:46.44,376965706,-1217753217,133943,137,37.52,25.15,
09/03/2024,21:26:47.44,376965706,-1217753230,134003,120,37.60,25.11,
09/03/2024,21:26:48.44,376965703,-1217753244,134024,124,37.65,25.14,
09/03/2024,21:26:49.44,376965702,-1217753257,134050,102,37.71,25.13,
09/03/2024,21:26:50.44,376965700,-1217753259,134072,28,37.80,25.13,
09/03/2024,21:26:51.44,376965700,-1217753259,134127,8,37.79,25.16,
09/03/2024,21:26:52.45,376965704,-1217753259,134194,11,37.79,25.07,
09/03/2024,21:26:53.45,376965709,-1217753262,134276,24,37.84,25.17,
09/03/2024,21:26:54.45,376965711,-1217753267,134331,28,37.82,25.13,
09/03/2024,21:26:55.45,376965711,-1217753291,134496,154,37.66,25.15,
09/03/2024,21:26:56.61,376965714,-1217753308,134594,128,37.70,25.12,
09/03/2024,21:26:57.67,376965708,-1217753334,134640,256,37.56,25.10,
09/03/2024,21:26:58.67,376965710,-1217753402,134682,718,37.68,25.12,
09/03/2024,21:26:59.67,376965707,-1217753521,134716,1150,37.82,25.08,
09/03/2024,21:27:00.67,376965707,-1217753681,134774,1504,37.80,25.11,
09/03/2024,21:27:01.67,376965708,-1217753898,134762,2101,38.05,25.13,
09/03/2024,21:27:02.67,376965712,-1217754218,134833,3148,38.08,25.16,
09/03/2024,21:27:03.67,376965731,-1217754218,134600,2896,37.67,25.19,
09/03/2024,21:27:05.65,376965860,-1217754889,134595,3383,37.54,25.25,
09/03/2024,21:27:06.65,376965990,-1217755215,134621,3635,37.47,25.36,
09/03/2024,21:27:07.65,376966191,-1217755516,134598,4027,37.47,25.33,
09/03/2024,21:27:08.65,376966479,-1217755747,134650,4622,37.21,25.40,
09/03/2024,21:27:09.65,376966842,-1217755903,134817,4612,37.38,25.45,
09/03/2024,21:27:10.65,376967242,-1217755991,134982,4621,37.07,25.43,
09/03/2024,21:27:11.65,376967644,-1209367424,135067,4799,37.13,25.53,
09/03/2024,21:27:12.65,376968057,-1217756065,135223,4877,36.94,25.61,
09/03/2024,21:27:13.66,376968478,-1217756096,135180,4916,36.81,25.57,
09/03/2024,21:27:14.66,376968911,-1217756126,135225,4829,36.77,25.63,
09/03/2024,21:27:15.66,376969337,-1217756152,135225,4903,36.66,25.77,
09/03/2024,21:27:17.63,376970193,-1217756159,135401,4805,36.51,25.75,
09/03/2024,21:27:18.63,376970618,-1217756150,135402,4518,36.41,25.78,
09/03/2024,21:27:19.63,376971024,-1217756123,135408,4133,36.41,25.83,
09/03/2024,21:27:20.63,376971396,-1217756080,135447,3943,36.24,25.84,
09/03/2024,21:27:21.64,376971744,-1217756003,135301,4209,36.29,25.90,
09/03/2024,21:27:22.64,376972082,-1217755829,135101,4190,35.96,25.91,
09/03/2024,21:27:23.64,376972357,-1217755517,135117,4244,35.74,26.00,
09/03/2024,21:27:24.64,376972514,-1217755094,135020,4172,35.35,25.95,
09/03/2024,21:27:25.64,376972600,-1217754638,135002,4188,35.13,26.02,
09/03/2024,21:27:26.64,376972716,-1217754190,134939,4159,35.14,25.95,
09/03/2024,21:27:27.64,376972915,-1217753802,134863,4227,34.78,25.99,
09/03/2024,21:27:28.64,376973213,-1217753541,134842,4411,34.73,26.08,
09/03/2024,21:27:29.64,376973582,-1217753400,134705,4355,34.56,26.13,
09/03/2024,21:27:30.64,376973966,-1217753313,134605,4174,34.42,26.07,
09/03/2024,21:27:31.64,376974320,-1217753160,134593,3970,34.43,26.06,
09/03/2024,21:27:32.64,376974618,-1217752911,134635,4445,34.53,26.20,
09/03/2024,21:27:33.65,376974836,-1217752523,134745,5328,34.35,26.23,
09/03/2024,21:27:34.65,376974941,-1217751981,134766,6505,34.30,26.32,
09/03/2024,21:27:35.65,376974968,-1217751288,134812,7342,34.08,26.36,
09/03/2024,21:27:36.65,376974991,-1217750487,134831,8141,34.04,26.35,
09/03/2024,21:27:37.65,376975034,-1217749595,134830,8630,33.89,26.39,
09/03/2024,21:27:38.65,376975071,-1217748635,134856,8986,33.76,26.39,
09/03/2024,21:27:39.65,376975102,-1217747629,134876,9109,33.84,26.44,
09/03/2024,21:27:40.65,376975138,-1217746600,134910,8851,33.66,26.50,
09/03/2024,21:27:41.65,376975193,-1217745592,134999,8348,33.56,26.63,
09/03/2024,21:27:42.65,376975256,-1217744631,135062,7844,33.39,26.80,
09/03/2024,21:27:43.65,376975314,-1217743728,135165,7351,33.20,26.78,
09/03/2024,21:27:44.65,376975371,-1217742882,135284,6804,33.03,26.80,
09/03/2024,21:27:45.66,376975433,-1217742095,135308,6167,33.03,26.90,
09/03/2024,21:27:46.66,376975488,-1217741378,135400,5707,32.87,26.93,
09/03/2024,21:27:47.66,376975538,-1217740721,135490,5288,32.78,27.01,
09/03/2024,21:27:48.66,376975586,-1217740110,135574,4734,32.66,27.04,
09/03/2024,21:27:49.66,376975630,-1217739557,135646,3337,32.49,27.07,
09/03/2024,21:27:50.66,376975665,-1217739133,135665,2090,32.56,27.08,
09/03/2024,21:27:51.66,376975691,-1217738859,135636,804,32.32,27.07,
09/03/2024,21:27:52.66,376975708,-1217738726,135607,3,32.40,26.99,
09/03/2024,21:27:53.66,376975714,-1217738701,135558,3,32.41,27.03,
09/03/2024,21:27:54.66,376975716,-1217738703,135528,2,32.24,27.03,
09/03/2024,21:27:55.67,376975717,-1217738706,135509,5,32.34,27.02,
09/03/2024,21:27:56.67,376975718,-1217738708,135479,13,32.32,27.07,
09/03/2024,21:27:57.67,376975719,-1217738708,135459,5,32.28,26.97,
09/03/2024,21:27:58.67,376975719,-1217738709,135449,5,32.31,27.04,
09/03/2024,21:27:59.67,376975720,-1217738710,135441,372,32.17,27.03,
09/03/2024,21:28:00.67,376975724,-1217738682,135481,1559,32.23,27.01,
09/03/2024,21:28:01.67,376975736,-1217738547,135514,4160,32.32,27.10,
09/03/2024,21:28:02.67,376975770,-1217738169,135679,6063,32.22,27.09,
09/03/2024,21:28:03.67,376975825,-1217737552,135825,7237,32.11,27.10,
09/03/2024,21:28:04.67,376975868,-1217736775,135992,8360,32.12,27.18,
09/03/2024,21:28:05.67,376975903,-1217735870,136162,9386,31.94,27.21,
09/03/2024,21:28:06.68,376975951,-1217734845,136197,10140,31.90,27.11,
09/03/2024,21:28:07.68,376976019,-1217733722,136116,10869,32.06,27.15,
09/03/2024,21:28:08.68,376976094,-1217732515,136119,11396,32.09,27.01,
09/03/2024,21:28:09.68,376976192,-1217731245,136174,11714,32.17,26.93,
09/03/2024,21:28:10.68,376976329,-1217729939,136203,11857,32.17,26.82,
09/03/2024,21:28:11.68,376976523,-1217728628,136314,11824,32.39,26.76,
09/03/2024,21:28:12.68,376976751,-1217727323,136752,11824,32.39,26.68,
09/03/2024,21:28:13.68,376977213,-1217724652,136997,12118,32.53,26.57,
09/03/2024,21:28:14.68,376977454,-1217723308,137207,12177,32.62,26.39,
09/03/2024,21:28:15.68,376977707,-1217721968,137433,12170,32.56,26.32,
09/03/2024,21:28:16.69,376977954,-1217720637,137605,12006,32.75,26.35,
09/03/2024,21:28:17.69,376978187,-1217719331,137771,11712,33.03,26.33,
09/03/2024,21:28:18.69,376978425,-1217718043,137983,11613,33.12,26.25,
09/03/2024,21:28:19.69,376978675,-1217716761,138073,11657,33.39,26.11,
09/03/2024,21:28:20.69,376978924,-1217715490,138305,11506,33.69,26.02,
09/03/2024,21:28:21.69,376979173,-1217714219,138460,11572,34.10,25.91,
09/03/2024,21:28:22.69,376979430,-1217712948,138624,11586,34.11,25.61,
09/03/2024,21:28:23.69,376979695,-1217711670,138776,11705,34.28,25.44,
09/03/2024,21:28:24.69,376979967,-1217710380,138814,11822,34.58,25.17,
09/03/2024,21:28:25.70,376980253,-1217709065,138897,12164,34.81,24.90,
09/03/2024,21:28:26.70,376980548,-1217707716,138962,12463,35.04,24.66,
09/03/2024,21:28:27.70,376980844,-1217706360,139065,12454,35.43,24.39,
09/03/2024,21:28:28.70,376981130,-1217705004,139192,12363,35.61,24.15,
09/03/2024,21:28:29.70,376981418,-1217703668,139257,12138,36.06,24.10,
09/03/2024,21:28:30.70,376981695,-1217702350,139344,11973,36.93,24.05,
09/03/2024,21:28:31.70,376981972,-1217701031,139505,12099,37.75,24.14,
09/03/2024,21:28:32.70,376982258,-1217699690,139651,12359,38.64,24.21,
09/03/2024,21:28:33.70,376982549,-1217698310,139791,12722,39.39,24.30,
09/03/2024,21:28:34.70,376982844,-1217696892,139951,13016,40.28,24.27,
09/03/2024,21:28:35.71,376983133,-1217695466,140118,12993,41.33,24.30,
09/03/2024,21:28:36.71,376983410,-1217694055,140289,12772,41.58,24.25,
09/03/2024,21:28:37.71,376983689,-1217692644,140377,12892,41.32,24.09,
09/03/2024,21:28:38.71,376983972,-1217691206,140556,13182,40.50,23.76,
09/03/2024,21:28:39.71,376984255,-1217689726,140470,13553,40.00,23.78,
09/03/2024,21:28:40.71,376984545,-1217688255,140581,13345,39.46,23.95,
09/03/2024,21:28:41.71,376984829,-1217686797,140713,13255,39.17,24.11,
09/03/2024,21:28:42.71,376985104,-1217685340,140851,13212,38.68,24.28,
09/03/2024,21:28:43.71,376985354,-1217683894,140929,12977,38.29,24.43,
09/03/2024,21:28:44.71,376985559,-1217682457,141034,12860,37.90,24.56,
09/03/2024,21:28:45.72,376985705,-1217681030,141166,12662,37.65,24.51,
09/03/2024,21:28:46.72,376985794,-1217679610,141168,12572,37.28,24.58,
09/03/2024,21:28:47.72,376985854,-1217678187,141112,12586,36.99,24.54,
09/03/2024,21:28:48.72,376985901,-1217676768,141024,12536,36.91,24.48,
09/03/2024,21:28:49.72,376985931,-1217675395,140939,11933,36.66,24.40,
09/03/2024,21:28:50.72,376985965,-1217674124,140828,10921,36.53,24.32,
09/03/2024,21:28:51.72,376985965,-1217671790,140578,10077,36.30,24.17,
