rtcDate,rtcTime,gps_Date,gps_Time,gps_Lat,gps_Long,gps_Alt,gps_AltMSL,gps_SIV,gps_FixType,gps_GroundSpeed,humidity_%,degC,Unnamed: 13,SourceFile,timestamp,Longitude,Latitude,time_delta,temperature_correction,corrected_temperature,Unnamed: 11,gps_pDOP,Unnamed: 12
08/27/2024,1900-01-01 20:46:20.620000,08/28/2024,03:45:58.000,376965706,-1217753883,109731.0,138939,24,3.0,3251,24.74,27.91,,Unit2_dataLog00111.TXT,2024-08-27 20:46:20.620,-121.77538829999999,37.6965706,0.0,-0.0,27.91,,,
08/27/2024,1900-01-01 20:46:21.620000,08/28/2024,03:45:59.000,376965672,-1217754311,109675.0,138882,24,3.0,4029,24.72,27.88,,Unit2_dataLog00111.TXT,2024-08-27 20:46:21.620,-121.77543109999999,37.6965672,1.0,-0.000487,27.880487,,,
08/27/2024,1900-01-01 20:46:22.620000,08/28/2024,03:46:01.000,376965711,-1217755212,109302.0,138509,24,3.0,3956,24.85,27.89,,Unit2_dataLog00111.TXT,2024-08-27 20:46:22.620,-121.7755212,37.6965711,2.0,-0.000974,27.890974,,,
08/27/2024,1900-01-01 20:46:24.590000,08/28/2024,03:46:02.000,376965868,-1217755597,109226.0,138434,24,3.0,3971,24.75,27.9,,Unit2_dataLog00111.TXT,2024-08-27 20:46:24.590,-121.77555969999999,37.6965868,3.97,-0.0019333900000000001,27.90193339,,,
08/27/2024,1900-01-01 20:46:25.590000,08/28/2024,03:46:03.000,376966137,-1217755879,109021.0,138229,24,3.0,4136,24.76,27.89,,Unit2_dataLog00111.TXT,2024-08-27 20:46:25.590,-121.77558789999999,37.6966137,4.97,-0.00242039,27.89242039,,,
08/27/2024,1900-01-01 20:46:26.590000,08/28/2024,03:46:04.000,376966490,-1217756064,108923.0,138131,24,3.0,4421,24.77,27.86,,Unit2_dataLog00111.TXT,2024-08-27 20:46:26.590,-121.7756064,37.696649,5.97,-0.00290739,27.86290739,,,
08/27/2024,1900-01-01 20:46:27.590000,08/28/2024,03:46:05.000,376966886,-1217756178,108891.0,138099,24,3.0,4588,24.84,27.89,,Unit2_dataLog00111.TXT,2024-08-27 20:46:27.590,-121.77561779999999,37.6966886,6.97,-0.00339439,27.89339439,,,
08/27/2024,1900-01-01 20:46:28.590000,08/28/2024,03:46:06.000,376967315,-1217756251,108825.0,138033,24,3.0,4989,24.71,27.89,,Unit2_dataLog00111.TXT,2024-08-27 20:46:28.590,-121.7756251,37.6967315,7.97,-0.00388139,27.89388139,,,
08/27/2024,1900-01-01 20:46:29.600000,08/28/2024,03:46:07.000,376967764,-1217756303,108853.0,138060,24,3.0,5107,24.78,27.88,,Unit2_dataLog00111.TXT,2024-08-27 20:46:29.600,-121.77563029999999,37.6967764,8.98,-0.00437326,27.88437326,,,
08/27/2024,1900-01-01 20:46:30.600000,08/28/2024,03:46:08.000,376968219,-1217756348,108845.0,138053,24,3.0,5124,24.77,27.91,,Unit2_dataLog00111.TXT,2024-08-27 20:46:30.600,-121.77563479999999,37.696821899999996,9.98,-0.004860260000000001,27.91486026,,,
08/27/2024,1900-01-01 20:46:31.600000,08/28/2024,03:46:09.000,376968672,-1217756395,108883.0,138091,24,3.0,5125,24.79,27.96,,Unit2_dataLog00111.TXT,2024-08-27 20:46:31.600,-121.7756395,37.6968672,10.98,-0.00534726,27.96534726,,,
08/27/2024,1900-01-01 20:46:32.600000,08/28/2024,03:46:10.000,376969121,-1217756393,108165.0,137372,24,3.0,4915,24.72,28.02,,Unit2_dataLog00111.TXT,2024-08-27 20:46:32.600,-121.7756393,37.6969121,11.98,-0.005834260000000001,28.02583426,,,
08/27/2024,1900-01-01 20:46:33.600000,08/28/2024,03:46:11.000,376969545,-1217756379,108512.0,137720,24,3.0,4760,24.75,28.06,,Unit2_dataLog00111.TXT,2024-08-27 20:46:33.600,-121.77563789999999,37.6969545,12.98,-0.00632126,28.06632126,,,
08/27/2024,1900-01-01 20:46:34.600000,08/28/2024,03:46:12.000,376969951,-1217756383,108664.0,137871,24,3.0,4503,24.82,28.09,,Unit2_dataLog00111.TXT,2024-08-27 20:46:34.600,-121.7756383,37.696995099999995,13.98,-0.006808260000000001,28.09680826,,,
08/27/2024,1900-01-01 20:46:35.600000,08/28/2024,03:46:13.000,376970360,-1217756398,108592.0,137799,24,3.0,4628,24.85,28.07,,Unit2_dataLog00111.TXT,2024-08-27 20:46:35.600,-121.7756398,37.697036,14.98,-0.0072952600000000005,28.07729526,,,
08/27/2024,1900-01-01 20:46:36.600000,08/28/2024,03:46:14.000,376970760,-1217756404,108804.0,138011,24,3.0,4462,24.84,28.09,,Unit2_dataLog00111.TXT,2024-08-27 20:46:36.600,-121.7756404,37.697075999999996,15.98,-0.007782260000000001,28.09778226,,,
08/27/2024,1900-01-01 20:46:37.600000,08/28/2024,03:46:15.000,376971141,-1217756399,108831.0,138038,24,3.0,4177,24.79,28.15,,Unit2_dataLog00111.TXT,2024-08-27 20:46:37.600,-121.77563989999999,37.6971141,16.98,-0.00826926,28.158269259999997,,,
08/27/2024,1900-01-01 20:46:38.600000,08/28/2024,03:46:16.000,376971507,-1217756376,108812.0,138019,24,3.0,4065,24.82,28.15,,Unit2_dataLog00111.TXT,2024-08-27 20:46:38.600,-121.7756376,37.6971507,17.98,-0.00875626,28.158756259999997,,,
08/27/2024,1900-01-01 20:46:39.600000,08/28/2024,03:46:17.000,376971866,-1217756308,109565.0,138772,25,3.0,4116,24.64,28.08,,Unit2_dataLog00111.TXT,2024-08-27 20:46:39.600,-121.77563079999999,37.697186599999995,18.98,-0.009243260000000001,28.08924326,,,
08/27/2024,1900-01-01 20:46:40.600000,08/28/2024,03:46:18.000,376972181,-1217756091,109486.0,138693,25,3.0,4046,24.61,28.16,,Unit2_dataLog00111.TXT,2024-08-27 20:46:40.600,-121.7756091,37.6972181,19.98,-0.009730260000000001,28.16973026,,,
08/27/2024,1900-01-01 20:46:41.600000,08/28/2024,03:46:19.000,376972394,-1217755745,109476.0,138682,25,3.0,3878,24.72,28.15,,Unit2_dataLog00111.TXT,2024-08-27 20:46:41.600,-121.77557449999999,37.6972394,20.98,-0.01021726,28.16021726,,,
08/27/2024,1900-01-01 20:46:42.600000,08/28/2024,03:46:20.000,376972494,-1217755348,109506.0,138713,24,3.0,3669,24.58,28.17,,Unit2_dataLog00111.TXT,2024-08-27 20:46:42.600,-121.77553479999999,37.6972494,21.98,-0.01070426,28.180704260000002,,,
08/27/2024,1900-01-01 20:46:43.600000,08/28/2024,03:46:21.000,376972539,-1217754946,109478.0,138685,25,3.0,3532,24.56,28.16,,Unit2_dataLog00111.TXT,2024-08-27 20:46:43.600,-121.77549459999999,37.6972539,22.98,-0.011191260000000001,28.17119126,,,
08/27/2024,1900-01-01 20:46:44.600000,08/28/2024,03:46:22.000,376972576,-1217754564,109435.0,138642,25,3.0,3326,24.52,28.11,,Unit2_dataLog00111.TXT,2024-08-27 20:46:44.600,-121.7754564,37.6972576,23.98,-0.011678260000000001,28.12167826,,,
08/27/2024,1900-01-01 20:46:45.600000,08/28/2024,03:46:23.000,376972656,-1217754204,109253.0,138459,25,3.0,3266,24.51,28.09,,Unit2_dataLog00111.TXT,2024-08-27 20:46:45.600,-121.7754204,37.6972656,24.98,-0.01216526,28.10216526,,,
08/27/2024,1900-01-01 20:46:46.600000,08/28/2024,03:46:24.000,376972827,-1217753897,109167.0,138373,25,3.0,3384,24.59,28.15,,Unit2_dataLog00111.TXT,2024-08-27 20:46:46.600,-121.77538969999999,37.697282699999995,25.98,-0.01265226,28.162652259999998,,,
08/27/2024,1900-01-01 20:46:47.600000,08/28/2024,03:46:25.000,376973077,-1217753683,108964.0,138171,25,3.0,3424,24.41,28.15,,Unit2_dataLog00111.TXT,2024-08-27 20:46:47.600,-121.7753683,37.697307699999996,26.98,-0.013139260000000002,28.163139259999998,,,
08/27/2024,1900-01-01 20:46:48.600000,08/28/2024,03:46:26.000,376973380,-1217753588,108925.0,138132,25,3.0,3545,24.53,28.19,,Unit2_dataLog00111.TXT,2024-08-27 20:46:48.600,-121.77535879999999,37.697337999999995,27.98,-0.013626260000000001,28.20362626,,,
