rtcDate,rtcTime,gps_Lat,gps_Long,gps_AltMSL,gps_GroundSpeed,humidity_%,degC,Unnamed: 8,SourceFile,timestamp,Longitude,Latitude,Altitude,time_delta,temperature_correction,corrected_temperature
09/07/2024,1900-01-01 13:41:15.720,376649552,-1217673178,167666,12708,21.89,35.57,,unit3_dataLog00197.TXT,2024-09-07 13:41:15.720,-121.7673178,37.6649552,167.666,0.0,0.0,35.57
09/07/2024,1900-01-01 13:41:16.730,376649560,-1217674626,167533,11883,21.75,35.53,,unit3_dataLog00197.TXT,2024-09-07 13:41:16.730,-121.76746259999999,37.664956,167.53300000000002,1.01,0.00028381,35.52971619
09/07/2024,1900-01-01 13:41:17.730,376649572,-1217675997,167428,10495,21.77,35.55,,unit3_dataLog00197.TXT,2024-09-07 13:41:17.730,-121.76759969999999,37.664957199999996,167.428,2.01,0.0005648099999999999,35.54943519
09/07/2024,1900-01-01 13:41:18.740,376649580,-1217677233,167386,8541,21.73,35.8,,unit3_dataLog00197.TXT,2024-09-07 13:41:18.740,-121.7677233,37.664958,167.386,3.02,0.00084862,35.79915138
09/07/2024,1900-01-01 13:41:19.740,376649586,-1217678263,167374,6211,21.7,35.95,,unit3_dataLog00197.TXT,2024-09-07 13:41:19.740,-121.7678263,37.6649586,167.374,4.02,0.0011296199999999998,35.94887038
09/07/2024,1900-01-01 13:41:20.750,376649608,-1217679043,167498,3858,21.55,35.96,,unit3_dataLog00197.TXT,2024-09-07 13:41:20.750,-121.7679043,37.664960799999996,167.498,5.03,0.00141343,35.95858657
09/07/2024,1900-01-01 13:41:23.770,376649817,-1217680056,167592,3208,21.34,36.1,,unit3_dataLog00197.TXT,2024-09-07 13:41:23.770,-121.7680056,37.6649817,167.592,8.05,0.0022620500000000003,36.09773795
09/07/2024,1900-01-01 13:41:24.770,376649977,-1217680314,167425,4601,21.25,36.1,,unit3_dataLog00197.TXT,2024-09-07 13:41:24.770,-121.7680314,37.6649977,167.425,9.05,0.0025430500000000003,36.09745695
09/07/2024,1900-01-01 13:41:25.780,376650292,-1217680577,167263,6111,21.21,36.08,,unit3_dataLog00197.TXT,2024-09-07 13:41:25.780,-121.7680577,37.6650292,167.263,10.06,0.00282686,36.07717314
09/07/2024,1900-01-01 13:41:26.780,376650781,-1217680765,167144,7375,21.21,36.16,,unit3_dataLog00197.TXT,2024-09-07 13:41:26.780,-121.76807649999999,37.665078099999995,167.144,11.06,0.00310786,36.15689214
09/07/2024,1900-01-01 13:41:27.790,376651409,-1217680867,166900,8218,21.21,36.14,,unit3_dataLog00197.TXT,2024-09-07 13:41:27.790,-121.7680867,37.6651409,166.9,12.07,0.0033916700000000003,36.13660833
09/07/2024,1900-01-01 13:41:28.800,376652127,-1217680924,166938,8686,21.22,36.1,,unit3_dataLog00197.TXT,2024-09-07 13:41:28.800,-121.7680924,37.6652127,166.93800000000002,13.08,0.00367548,36.09632452
09/07/2024,1900-01-01 13:41:29.800,376652897,-1217680953,166897,9060,21.21,36.05,,unit3_dataLog00197.TXT,2024-09-07 13:41:29.800,-121.7680953,37.665289699999995,166.897,14.08,0.00395648,36.04604352
09/07/2024,1900-01-01 13:41:30.810,376653706,-1217680977,166752,9393,21.23,36.04,,unit3_dataLog00197.TXT,2024-09-07 13:41:30.810,-121.7680977,37.665370599999996,166.752,15.09,0.00424029,36.03575971
09/07/2024,1900-01-01 13:41:31.820,376654544,-1217681007,166668,9762,21.25,35.92,,unit3_dataLog00197.TXT,2024-09-07 13:41:31.820,-121.76810069999999,37.6654544,166.668,16.1,0.0045241000000000005,35.915475900000004
09/07/2024,1900-01-01 13:41:32.820,376655415,-1217681037,166578,10230,21.34,35.9,,unit3_dataLog00197.TXT,2024-09-07 13:41:32.820,-121.7681037,37.665541499999996,166.578,17.1,0.0048051000000000005,35.8951949
09/07/2024,1900-01-01 13:41:33.830,376656326,-1217681065,166550,10992,21.41,36.01,,unit3_dataLog00197.TXT,2024-09-07 13:41:33.830,-121.76810649999999,37.665632599999995,166.55,18.11,0.0050889099999999994,36.00491109
09/07/2024,1900-01-01 13:41:34.830,376657299,-1217681089,166616,11676,21.46,36.11,,unit3_dataLog00197.TXT,2024-09-07 13:41:34.830,-121.7681089,37.665729899999995,166.616,19.11,0.0053699099999999994,36.10463009
09/07/2024,1900-01-01 13:41:35.840,376658333,-1217681098,166524,12131,21.43,36.25,,unit3_dataLog00197.TXT,2024-09-07 13:41:35.840,-121.76810979999999,37.665833299999996,166.524,20.12,0.00565372,36.24434628
09/07/2024,1900-01-01 13:41:36.850,376659416,-1217681103,166563,12403,21.37,36.35,,unit3_dataLog00197.TXT,2024-09-07 13:41:36.850,-121.76811029999999,37.6659416,166.56300000000002,21.13,0.00593753,36.344062470000004
09/07/2024,1900-01-01 13:41:37.850,376660527,-1217681096,166523,12564,21.37,36.3,,unit3_dataLog00197.TXT,2024-09-07 13:41:37.850,-121.76810959999999,37.6660527,166.523,22.13,0.00621853,36.29378147
09/07/2024,1900-01-01 13:41:38.860,376661653,-1217681076,166423,12564,21.31,36.35,,unit3_dataLog00197.TXT,2024-09-07 13:41:38.860,-121.7681076,37.666165299999996,166.423,23.14,0.0065023400000000005,36.343497660000004
09/07/2024,1900-01-01 13:41:39.860,376663922,-1217681065,166136,12604,21.28,36.38,,unit3_dataLog00197.TXT,2024-09-07 13:41:39.860,-121.76810649999999,37.6663922,166.136,24.14,0.0067833400000000005,36.373216660000004
09/07/2024,1900-01-01 13:41:40.870,376665046,-1217681086,166131,12442,21.15,36.46,,unit3_dataLog00197.TXT,2024-09-07 13:41:40.870,-121.76810859999999,37.666504599999996,166.131,25.15,0.0070671499999999995,36.45293285
09/07/2024,1900-01-01 13:41:41.880,376666159,-1217681111,166072,12297,21.08,36.39,,unit3_dataLog00197.TXT,2024-09-07 13:41:41.880,-121.7681111,37.6666159,166.072,26.16,0.00735096,36.382649040000004
09/07/2024,1900-01-01 13:41:42.880,376667279,-1217681146,166193,12446,21.17,36.3,,unit3_dataLog00197.TXT,2024-09-07 13:41:42.880,-121.76811459999999,37.6667279,166.193,27.16,0.00763196,36.29236804
09/07/2024,1900-01-01 13:41:43.890,376668412,-1217681182,166168,12617,21.19,36.35,,unit3_dataLog00197.TXT,2024-09-07 13:41:43.890,-121.76811819999999,37.6668412,166.168,28.17,0.00791577,36.342084230000005
09/07/2024,1900-01-01 13:41:44.890,376669555,-1217681221,166084,12705,21.11,36.37,,unit3_dataLog00197.TXT,2024-09-07 13:41:44.890,-121.7681221,37.6669555,166.084,29.17,0.00819677,36.36180323
09/07/2024,1900-01-01 13:41:45.900,376670711,-1217681244,165951,12879,21.1,36.52,,unit3_dataLog00197.TXT,2024-09-07 13:41:45.900,-121.76812439999999,37.6670711,165.951,30.18,0.00848058,36.511519420000006
09/07/2024,1900-01-01 13:41:46.910,376671881,-1217681247,166006,13029,20.98,36.51,,unit3_dataLog00197.TXT,2024-09-07 13:41:46.910,-121.7681247,37.6671881,166.006,31.19,0.00876439,36.501235609999995
09/07/2024,1900-01-01 13:41:47.910,376673071,-1217681240,166051,13277,20.95,36.59,,unit3_dataLog00197.TXT,2024-09-07 13:41:47.910,-121.768124,37.667307099999995,166.05100000000002,32.19,0.009045389999999999,36.580954610000006
09/07/2024,1900-01-01 13:41:48.920,376674283,-1217681235,165941,13514,20.9,36.71,,unit3_dataLog00197.TXT,2024-09-07 13:41:48.920,-121.7681235,37.6674283,165.941,33.2,0.009329200000000001,36.7006708
09/07/2024,1900-01-01 13:41:49.920,376675514,-1217681234,165866,13717,20.83,36.75,,unit3_dataLog00197.TXT,2024-09-07 13:41:49.920,-121.7681234,37.6675514,165.866,34.2,0.009610200000000001,36.7403898
09/07/2024,1900-01-01 13:41:50.930,376676757,-1217681235,165829,13829,20.86,36.77,,unit3_dataLog00197.TXT,2024-09-07 13:41:50.930,-121.7681235,37.6676757,165.829,35.21,0.00989401,36.76010599000001
09/07/2024,1900-01-01 13:41:51.940,376678005,-1217681221,165792,13877,20.89,36.83,,unit3_dataLog00197.TXT,2024-09-07 13:41:51.940,-121.7681221,37.6678005,165.792,36.22,0.010177819999999999,36.819822179999996
09/07/2024,1900-01-01 13:41:52.940,376679260,-1217681194,165813,13945,20.8,36.65,,unit3_dataLog00197.TXT,2024-09-07 13:41:52.940,-121.76811939999999,37.667926,165.81300000000002,37.22,0.010458819999999999,36.63954118
09/07/2024,1900-01-01 13:41:53.950,376680517,-1217681171,165697,13957,20.68,36.74,,unit3_dataLog00197.TXT,2024-09-07 13:41:53.950,-121.7681171,37.6680517,165.697,38.23,0.01074263,36.72925737
09/07/2024,1900-01-01 13:41:54.960,376681780,-1217681158,165551,14022,20.73,36.61,,unit3_dataLog00197.TXT,2024-09-07 13:41:54.960,-121.76811579999999,37.668178,165.55100000000002,39.24,0.01102644,36.59897356
09/07/2024,1900-01-01 13:41:55.960,376683039,-1217681142,165485,13992,20.67,36.63,,unit3_dataLog00197.TXT,2024-09-07 13:41:55.960,-121.7681142,37.6683039,165.485,40.24,0.01130744,36.61869256
09/07/2024,1900-01-01 13:41:56.970,376684294,-1217681128,165318,13891,20.63,36.58,,unit3_dataLog00197.TXT,2024-09-07 13:41:56.970,-121.7681128,37.6684294,165.318,41.25,0.01159125,36.568408749999996
09/07/2024,1900-01-01 13:41:57.970,376685532,-1217681124,165287,13643,20.7,36.61,,unit3_dataLog00197.TXT,2024-09-07 13:41:57.970,-121.76811239999999,37.6685532,165.287,42.25,0.01187225,36.598127749999996
09/07/2024,1900-01-01 13:41:58.980,376686744,-1217681130,165300,13389,20.71,36.63,,unit3_dataLog00197.TXT,2024-09-07 13:41:58.980,-121.768113,37.6686744,165.3,43.26,0.01215606,36.61784394
09/07/2024,1900-01-01 13:41:59.990,376687932,-1217681130,165163,13089,20.83,36.63,,unit3_dataLog00197.TXT,2024-09-07 13:41:59.990,-121.768113,37.668793199999996,165.163,44.27,0.01243987,36.61756013
09/07/2024,1900-01-01 13:42:00.990,376689061,-1217681126,165151,12276,20.8,36.63,,unit3_dataLog00197.TXT,2024-09-07 13:42:00.990,-121.7681126,37.6689061,165.151,45.27,0.01272087,36.61727913
09/07/2024,1900-01-01 13:42:02.000,376690094,-1217681128,165118,11119,20.78,36.58,,unit3_dataLog00197.TXT,2024-09-07 13:42:02.000,-121.7681128,37.6690094,165.118,46.28,0.013004680000000001,36.56699532
09/07/2024,1900-01-01 13:42:03.010,376691024,-1217681129,165009,9956,20.78,36.53,,unit3_dataLog00197.TXT,2024-09-07 13:42:03.010,-121.76811289999999,37.6691024,165.00900000000001,47.29,0.01328849,36.51671151
09/07/2024,1900-01-01 13:42:04.010,376691845,-1217681133,164988,8812,21.08,36.53,,unit3_dataLog00197.TXT,2024-09-07 13:42:04.010,-121.7681133,37.6691845,164.988,48.29,0.01356949,36.51643051
09/07/2024,1900-01-01 13:42:05.020,376692532,-1217681140,164817,7183,21.2,36.39,,unit3_dataLog00197.TXT,2024-09-07 13:42:05.020,-121.768114,37.6692532,164.817,49.3,0.013853299999999999,36.3761467
09/07/2024,1900-01-01 13:42:06.020,376693082,-1217681146,164696,5695,21.36,36.35,,unit3_dataLog00197.TXT,2024-09-07 13:42:06.020,-121.76811459999999,37.669308199999996,164.696,50.3,0.014134299999999999,36.3358657
09/07/2024,1900-01-01 13:42:07.030,376693485,-1217681151,164542,3993,21.37,36.36,,unit3_dataLog00197.TXT,2024-09-07 13:42:07.030,-121.76811509999999,37.6693485,164.542,51.31,0.014418110000000001,36.34558189
