rtcDate,rtcTime,gps_Lat,gps_Long,gps_AltMSL,gps_GroundSpeed,humidity_%,degC,Unnamed: 8,SourceFile,timestamp,Longitude,Latitude,Altitude,time_delta,temperature_correction,corrected_temperature
09/04/2024,1900-01-01 19:20:24.290,376551935,-1216607569,283970,2273,24.82,29.36,,Unit0_dataLog00064.TXT,2024-09-04 19:20:24.290,-121.6607569,37.655193499999996,283.97,0.0,-0.0,29.36
09/04/2024,1900-01-01 19:20:25.300,376551759,-1216607477,283788,2367,24.94,29.31,,Unit0_dataLog00064.TXT,2024-09-04 19:20:25.300,-121.66074769999999,37.655175899999996,283.788,1.01,-0.0,29.31
09/04/2024,1900-01-01 19:20:26.300,376551564,-1216607413,283626,2589,24.85,29.23,,Unit0_dataLog00064.TXT,2024-09-04 19:20:26.300,-121.6607413,37.655156399999996,283.62600000000003,2.01,-0.0,29.23
09/04/2024,1900-01-01 19:20:27.310,376551345,-1216607370,283515,2787,24.84,29.33,,Unit0_dataLog00064.TXT,2024-09-04 19:20:27.310,-121.660737,37.655134499999996,283.515,3.02,-0.0,29.33
09/04/2024,1900-01-01 19:20:28.320,376551102,-1216607343,283395,2989,24.95,29.28,,Unit0_dataLog00064.TXT,2024-09-04 19:20:28.320,-121.6607343,37.655110199999996,283.395,4.03,-0.0,29.28
09/04/2024,1900-01-01 19:20:29.330,376550838,-1216607326,283272,3072,25.1,29.25,,Unit0_dataLog00064.TXT,2024-09-04 19:20:29.330,-121.66073259999999,37.6550838,283.272,5.04,-0.0,29.25
09/04/2024,1900-01-01 19:20:30.330,376550564,-1216607319,283201,3035,24.98,29.31,,Unit0_dataLog00064.TXT,2024-09-04 19:20:30.330,-121.66073189999999,37.6550564,283.201,6.04,-0.0,29.31
09/04/2024,1900-01-01 19:20:31.340,376550291,-1216607313,283214,3031,25.02,29.26,,Unit0_dataLog00064.TXT,2024-09-04 19:20:31.340,-121.6607313,37.6550291,283.214,7.05,-0.0,29.26
09/04/2024,1900-01-01 19:20:32.350,376550020,-1216607313,283020,2983,24.86,29.18,,Unit0_dataLog00064.TXT,2024-09-04 19:20:32.350,-121.6607313,37.655001999999996,283.02,8.06,-0.0,29.18
09/04/2024,1900-01-01 19:20:34.130,376549484,-1216607282,282911,2971,25.17,29.14,,Unit0_dataLog00064.TXT,2024-09-04 19:20:34.130,-121.6607282,37.654948399999995,282.911,9.84,-0.0,29.14
09/04/2024,1900-01-01 19:20:35.190,376549218,-1216607267,282906,3231,25.07,29.15,,Unit0_dataLog00064.TXT,2024-09-04 19:20:35.190,-121.6607267,37.6549218,282.906,10.9,-0.0,29.15
09/04/2024,1900-01-01 19:20:36.190,376548939,-1216607261,282902,3323,24.87,29.09,,Unit0_dataLog00064.TXT,2024-09-04 19:20:36.190,-121.66072609999999,37.6548939,282.902,11.9,-0.0,29.09
09/04/2024,1900-01-01 19:20:37.200,376548646,-1216607268,282895,3356,25.07,29.01,,Unit0_dataLog00064.TXT,2024-09-04 19:20:37.200,-121.66072679999999,37.654864599999996,282.895,12.91,-0.0,29.01
09/04/2024,1900-01-01 19:20:38.210,376548348,-1216607275,282872,3328,24.84,29.02,,Unit0_dataLog00064.TXT,2024-09-04 19:20:38.210,-121.6607275,37.654834799999996,282.872,13.92,-0.0,29.02
09/04/2024,1900-01-01 19:20:39.220,376548049,-1216607280,282749,3281,24.94,29.09,,Unit0_dataLog00064.TXT,2024-09-04 19:20:39.220,-121.66072799999999,37.654804899999995,282.749,14.93,-0.0,29.09
09/04/2024,1900-01-01 19:20:40.220,376547750,-1216607290,282642,3280,24.93,29.05,,Unit0_dataLog00064.TXT,2024-09-04 19:20:40.220,-121.66072899999999,37.654775,282.642,15.93,-0.0,29.05
09/04/2024,1900-01-01 19:20:41.230,376547453,-1216607298,282697,3274,24.97,29.14,,Unit0_dataLog00064.TXT,2024-09-04 19:20:41.230,-121.6607298,37.654745299999995,282.697,16.94,-0.0,29.14
09/04/2024,1900-01-01 19:20:42.240,376547156,-1216607302,282575,3297,25.01,29.11,,Unit0_dataLog00064.TXT,2024-09-04 19:20:42.240,-121.66073019999999,37.654715599999996,282.575,17.95,-0.0,29.11
09/04/2024,1900-01-01 19:20:43.250,376546856,-1216607298,282399,3416,25.08,29.2,,Unit0_dataLog00064.TXT,2024-09-04 19:20:43.250,-121.6607298,37.6546856,282.399,18.96,-0.0,29.2
09/04/2024,1900-01-01 19:20:44.250,376546551,-1216607293,282216,3336,25.06,29.2,,Unit0_dataLog00064.TXT,2024-09-04 19:20:44.250,-121.6607293,37.6546551,282.216,19.96,-0.0,29.2
09/04/2024,1900-01-01 19:20:45.260,376546252,-1216607285,282204,3247,25.06,29.21,,Unit0_dataLog00064.TXT,2024-09-04 19:20:45.260,-121.66072849999999,37.6546252,282.204,20.97,-0.0,29.21
09/04/2024,1900-01-01 19:20:46.270,376545960,-1216607296,282146,3215,25.08,29.27,,Unit0_dataLog00064.TXT,2024-09-04 19:20:46.270,-121.6607296,37.654596,282.146,21.98,-0.0,29.27
09/04/2024,1900-01-01 19:20:47.280,376545667,-1216607310,282140,3134,24.96,29.19,,Unit0_dataLog00064.TXT,2024-09-04 19:20:47.280,-121.660731,37.6545667,282.14,22.99,-0.0,29.19
09/04/2024,1900-01-01 19:20:48.280,376545382,-1216607310,282134,3141,24.92,29.26,,Unit0_dataLog00064.TXT,2024-09-04 19:20:48.280,-121.660731,37.6545382,282.134,23.99,-0.0,29.26
09/04/2024,1900-01-01 19:20:49.290,376545094,-1216607308,282170,3201,24.95,29.24,,Unit0_dataLog00064.TXT,2024-09-04 19:20:49.290,-121.6607308,37.654509399999995,282.17,25.0,-0.0,29.24
09/04/2024,1900-01-01 19:20:50.300,376544803,-1216607309,282126,3242,25.08,29.13,,Unit0_dataLog00064.TXT,2024-09-04 19:20:50.300,-121.66073089999999,37.654480299999996,282.12600000000003,26.01,-0.0,29.13
09/04/2024,1900-01-01 19:20:51.310,376544510,-1216607295,282050,3373,25.11,29.16,,Unit0_dataLog00064.TXT,2024-09-04 19:20:51.310,-121.66072949999999,37.654451,282.05,27.02,-0.0,29.16
09/04/2024,1900-01-01 19:20:52.310,376544203,-1216607305,281876,3405,25.11,29.18,,Unit0_dataLog00064.TXT,2024-09-04 19:20:52.310,-121.6607305,37.6544203,281.87600000000003,28.02,-0.0,29.18
