rtcDate,rtcTime,gps_Lat,gps_Long,gps_AltMSL,gps_GroundSpeed,humidity_%,degC,
10/06/2024,16:30:51.01,376967815,-1217755020,137504,100,14.15,37.36,
10/06/2024,16:30:52.07,376967820,-1217754955,136875,35,14.13,37.37,
10/06/2024,16:30:53.13,376967422,-1217755288,139761,12,14.11,37.38,
10/06/2024,16:30:54.13,376967210,-1217755345,141149,24,14.11,37.30,
10/06/2024,16:30:55.14,376967166,-1217755385,141903,8,14.46,37.36,
10/06/2024,16:30:56.15,376967191,-1217755303,141046,4,14.43,37.36,
10/06/2024,16:30:57.15,376967182,-1217755293,140701,8,14.38,37.34,
10/06/2024,16:30:58.16,376967201,-1217755282,140824,5,14.22,37.31,
10/06/2024,16:30:59.17,376967209,-1217755269,140917,14,14.31,37.34,
10/06/2024,16:31:00.18,376967209,-1217755270,141145,16,14.19,37.36,
10/06/2024,16:31:01.18,376967200,-1217755267,141352,5,14.19,37.31,
10/06/2024,16:31:02.19,376967194,-1217755258,141461,16,14.10,37.29,
10/06/2024,16:31:03.20,376967187,-1217755249,141468,11,14.10,37.33,
10/06/2024,16:31:04.21,376967177,-1217755246,141539,5,14.14,37.33,
10/06/2024,16:31:05.21,376967173,-1217755243,141588,9,14.16,37.36,
10/06/2024,16:31:06.22,376967167,-1217755238,141701,17,14.26,37.36,
10/06/2024,16:31:07.23,376967161,-1217755231,141765,7,14.19,37.32,
10/06/2024,16:31:08.23,376967153,-1217755225,141831,10,14.15,37.32,
10/06/2024,16:31:09.24,376967146,-1217755222,141879,11,14.11,37.37,
10/06/2024,16:31:10.25,376967139,-1217755221,141899,12,14.23,37.41,
10/06/2024,16:31:11.26,376967130,-1217755217,141959,10,14.16,37.30,
10/06/2024,16:31:12.26,376967130,-1217755212,141993,15,14.15,37.35,
10/06/2024,16:31:14.05,376967115,-1217755209,142017,13,14.06,37.32,
10/06/2024,16:31:15.11,376967109,-1217755208,142027,2,14.09,37.37,
10/06/2024,16:31:16.11,376967104,-1217755208,142012,1,14.02,37.37,
10/06/2024,16:31:17.12,376967101,-1217755208,141980,4,14.04,37.37,
10/06/2024,16:31:18.13,376967096,-1217755208,142074,146,14.06,37.39,
10/06/2024,16:31:20.12,376967069,-1217755201,142285,443,14.17,37.37,
10/06/2024,16:31:21.12,376967030,-1217755190,142519,627,14.01,37.41,
10/06/2024,16:31:22.13,376966975,-1217755176,142622,725,13.98,37.42,
10/06/2024,16:31:23.14,376966909,-1217755163,142695,14,14.03,37.40,
10/06/2024,16:31:24.15,376966886,-1217755156,142712,23,14.00,37.34,
10/06/2024,16:31:25.15,376966879,-1217755150,142730,53,13.95,37.40,
10/06/2024,16:31:26.16,376966877,-1217755142,142656,71,14.02,37.42,
10/06/2024,16:31:27.17,376966868,-1217755138,142560,42,13.89,37.40,
10/06/2024,16:31:28.17,376966863,-1217755134,142512,21,14.05,37.41,
10/06/2024,16:31:29.18,376966862,-1217755128,142527,11,14.03,37.44,
10/06/2024,16:31:30.19,376966860,-1217755119,142531,2,14.04,37.38,
10/06/2024,16:31:31.20,376966857,-1217755111,142494,10,14.09,37.41,
10/06/2024,16:31:32.20,376966851,-1217755105,142466,6,14.08,37.47,
10/06/2024,16:31:33.21,376966846,-1217755099,142466,5,14.07,37.45,
10/06/2024,16:31:35.09,376966839,-1217755084,142428,9,13.88,37.44,
10/06/2024,16:31:36.10,376966836,-1217755076,142401,5,14.01,37.46,
10/06/2024,16:31:37.11,376966833,-1217755069,142370,8,13.94,37.41,
10/06/2024,16:31:38.12,376966831,-1217755064,142329,2,13.89,37.49,
10/06/2024,16:31:39.12,376966829,-1217755059,142299,3,13.87,37.48,
10/06/2024,16:31:40.13,376966827,-1217755055,142268,18,13.83,37.48,
10/06/2024,16:31:41.14,376966824,-1217755050,142241,8,13.96,37.52,
10/06/2024,16:31:42.15,376966822,-1217755046,142224,5,14.00,37.50,
10/06/2024,16:31:43.15,376966821,-1217755041,142228,8,13.91,37.52,
10/06/2024,16:31:44.16,376966819,-1217755040,142187,7,13.96,37.48,
10/06/2024,16:31:45.17,376966818,-1217755037,142132,17,13.90,37.49,
10/06/2024,16:31:46.18,376966818,-1217755034,142120,5,13.98,37.42,
10/06/2024,16:31:47.18,376966818,-1217755032,142123,7,13.99,37.52,
10/06/2024,16:31:48.19,376966818,-1217755029,142106,4,14.13,37.45,
10/06/2024,16:31:49.20,376966817,-1217755027,142083,9,14.08,37.57,
10/06/2024,16:31:50.21,376966816,-1217755026,142068,9,13.97,37.51,
10/06/2024,16:31:51.21,376966814,-1217755024,142052,20,14.03,37.55,
10/06/2024,16:31:52.22,376966812,-1217755023,142033,27,13.94,37.50,
10/06/2024,16:31:53.23,376966809,-1217755023,141995,52,14.06,37.57,
10/06/2024,16:31:54.23,376966805,-1217755025,141915,52,13.96,37.47,
10/06/2024,16:31:55.24,376966801,-1217755024,141895,22,13.89,37.49,
10/06/2024,16:31:56.25,376966801,-1217755021,141913,13,13.92,37.54,
10/06/2024,16:31:57.26,376966799,-1217755018,141930,10,13.97,37.48,
10/06/2024,16:31:58.26,376966798,-1217755017,141893,22,14.06,37.59,
10/06/2024,16:31:59.27,376966796,-1217755016,141876,23,13.98,37.52,
10/06/2024,16:32:00.28,376966793,-1217755015,141868,17,14.06,37.56,
10/06/2024,16:32:01.29,376966789,-1217755015,141879,5,13.98,37.54,
10/06/2024,16:32:02.29,376966786,-1217755012,141871,13,13.92,37.50,
10/06/2024,16:32:03.30,376966783,-1217755012,141865,9,14.03,37.56,
10/06/2024,16:32:04.31,376966780,-1217755013,141848,6,13.93,37.48,
10/06/2024,16:32:05.32,376966777,-1217755013,141850,11,13.93,37.57,
10/06/2024,16:32:06.32,376966773,-1217755014,141897,27,13.94,37.52,
10/06/2024,16:32:07.33,376966754,-1217755010,142043,245,13.95,37.51,
10/06/2024,16:32:08.34,376966712,-1217754999,142216,521,13.97,37.46,
10/06/2024,16:32:09.35,376966644,-1217754986,142538,860,13.93,37.46,
10/06/2024,16:32:10.35,376966644,-1217754963,143139,823,13.98,37.52,
10/06/2024,16:32:12.04,376966485,-1217754955,143824,757,13.90,37.43,
10/06/2024,16:32:13.09,376966415,-1217754939,144244,1211,13.95,37.45,
10/06/2024,16:32:14.10,376966321,-1217754918,145239,679,13.94,37.42,
10/06/2024,16:32:15.11,376966249,-1217754897,146230,750,13.95,37.41,
10/06/2024,16:32:16.12,376966188,-1217754876,147109,861,13.94,37.41,
10/06/2024,16:32:17.12,376966116,-1217754858,147658,1294,13.93,37.37,
10/06/2024,16:32:18.13,376966015,-1217754858,148699,439,13.86,37.36,
10/06/2024,16:32:19.14,376965955,-1217754858,149020,102,13.84,37.34,
10/06/2024,16:32:20.15,376965943,-1217754866,148479,264,13.93,37.36,
10/06/2024,16:32:21.15,376965966,-1217754935,147882,1097,13.95,37.37,
10/06/2024,16:32:22.16,376966026,-1217755101,147654,2419,13.92,37.39,
10/06/2024,16:32:23.17,376966150,-1217755345,147301,3021,13.88,37.38,
10/06/2024,16:32:24.18,376966316,-1217755601,146717,3296,13.97,37.45,
10/06/2024,16:32:25.18,376966517,-1217755803,145679,3315,13.93,37.38,
10/06/2024,16:32:26.19,376966766,-1217755949,145180,3529,14.10,37.33,
10/06/2024,16:32:27.20,376967041,-1217756051,144977,3617,14.06,37.30,
10/06/2024,16:32:28.21,376967344,-1217756126,144816,3955,14.07,37.26,
10/06/2024,16:32:29.21,376967677,-1217756180,144653,4248,14.11,37.21,
10/06/2024,16:32:30.22,376968042,-1217756236,144435,4342,14.10,37.16,
10/06/2024,16:32:31.23,376968423,-1217756285,144136,4270,14.10,37.15,
10/06/2024,16:32:32.24,376968800,-1217756324,143633,4327,14.16,37.13,
10/06/2024,16:32:33.24,376969181,-1217756360,143401,4491,14.13,37.11,
10/06/2024,16:32:34.25,376969573,-1217756394,143093,4359,14.24,37.08,
10/06/2024,16:32:35.26,376969961,-1217756411,142998,4218,14.27,37.10,
10/06/2024,16:32:36.27,376970338,-1217756418,142737,4021,14.20,37.06,
10/06/2024,16:32:37.27,376970696,-1217756403,142614,3944,14.20,37.05,
10/06/2024,16:32:38.28,376971041,-1217756366,142452,3713,14.20,37.06,
10/06/2024,16:32:39.29,376971368,-1217756312,142562,3522,14.27,37.03,
10/06/2024,16:32:40.29,376971679,-1217756239,142528,3250,14.35,37.03,
10/06/2024,16:32:41.30,376971963,-1217756125,142312,3134,14.32,37.09,
10/06/2024,16:32:42.31,376972220,-1217755944,142197,3192,14.38,37.02,
10/06/2024,16:32:43.32,376972458,-1217755694,142161,3110,14.37,37.00,
10/06/2024,16:32:44.32,376972647,-1217755383,142128,3175,14.40,37.03,
10/06/2024,16:32:45.33,376972778,-1217755025,141944,3336,14.47,37.12,
10/06/2024,16:32:46.34,376972854,-1217754649,141661,3466,14.60,37.16,
10/06/2024,16:32:47.35,376972928,-1217754649,141178,3487,14.67,37.15,
10/06/2024,16:32:49.13,376973204,-1217753929,140861,3253,14.62,37.16,
10/06/2024,16:32:50.14,376973429,-1217753697,140572,3047,14.79,37.07,
10/06/2024,16:32:51.14,376973687,-1217753582,140232,2903,14.91,37.03,
10/06/2024,16:32:52.15,376973948,-1217753556,140057,2253,15.01,36.97,
10/06/2024,16:32:53.16,376974163,-1217753564,139798,1612,15.17,36.98,
10/06/2024,16:32:54.16,376974318,-1217753569,139600,2218,15.12,37.07,
10/06/2024,16:32:55.17,376974497,-1217753543,139474,2188,15.05,37.10,
