rtcDate,rtcTime,gps_Date,gps_Time,gps_Lat,gps_Long,gps_Alt,gps_AltMSL,gps_SIV,gps_FixType,gps_GroundSpeed,humidity_%,degC,
08/27/2024,20:45:15.61,08/28/2024,03:44:52.500,376965558,-1217753453,111114,140322,15,3,169,24.88,27.87,
08/27/2024,20:45:16.61,08/28/2024,03:44:54.000,376965876,-1217753384,112123,141331,19,3,67,24.94,27.86,
08/27/2024,20:45:17.61,08/28/2024,03:44:55.000,376965917,-1217753421,111717,140925,19,3,31,25.05,27.83,
08/27/2024,20:45:18.61,08/28/2024,03:44:56.000,376965942,-1217753424,111989,141197,19,3,4,25.04,27.85,
08/27/2024,20:45:19.61,08/28/2024,03:44:57.000,376965923,-1217753422,112107,141314,20,3,63,24.79,27.87,
08/27/2024,20:45:20.61,08/28/2024,03:44:58.000,376965915,-1217753427,111916,141124,20,3,45,25.10,27.88,
08/27/2024,20:45:21.61,08/28/2024,03:44:59.000,376965892,-1217753415,111492,140700,21,3,17,24.95,27.84,
08/27/2024,20:45:22.61,08/28/2024,03:45:00.000,376965894,-1217753397,110919,140127,21,3,2,24.97,27.83,
08/27/2024,20:45:23.61,08/28/2024,03:45:01.000,376965883,-1217753397,110637,139845,21,3,30,25.01,27.87,
08/27/2024,20:45:24.61,08/28/2024,03:45:02.000,376965876,-1217753384,110514,139721,21,3,18,25.15,27.84,
08/27/2024,20:45:25.61,08/28/2024,03:45:03.000,376965867,-1217753376,110442,139649,21,3,14,25.04,27.84,
08/27/2024,20:45:26.61,08/28/2024,03:45:04.000,376965860,-1217753368,110608,139816,21,3,6,24.92,27.85,
08/27/2024,20:45:27.61,08/28/2024,03:45:05.000,376965854,-1217753362,110805,140013,21,3,7,25.11,27.84,
08/27/2024,20:45:28.61,08/28/2024,03:45:06.000,376965852,-1217753358,110855,140063,21,3,6,24.97,27.84,
08/27/2024,20:45:29.61,08/28/2024,03:45:07.000,376965847,-1217753354,110934,140142,21,3,15,25.08,27.86,
08/27/2024,20:45:30.61,08/28/2024,03:45:08.000,376965846,-1217753352,110956,140163,21,3,7,24.93,27.79,
08/27/2024,20:45:31.61,08/28/2024,03:45:09.000,376965850,-1217753351,110967,140174,21,3,12,25.06,27.84,
08/27/2024,20:45:32.61,08/28/2024,03:45:10.000,376965853,-1217753350,111029,140237,21,3,5,25.17,27.84,
08/27/2024,20:45:33.61,08/28/2024,03:45:11.000,376965857,-1217753351,111139,140347,21,3,10,25.04,27.82,
08/27/2024,20:45:34.61,08/28/2024,03:45:12.000,376965861,-1217753351,111211,140418,21,3,1,25.05,27.88,
08/27/2024,20:45:35.61,08/28/2024,03:45:13.000,376965863,-1217753352,111218,140426,21,3,14,25.06,27.85,
08/27/2024,20:45:36.61,08/28/2024,03:45:14.000,376965865,-1217753352,111220,140427,21,3,8,25.02,27.85,
08/27/2024,20:45:37.61,08/28/2024,03:45:15.000,376965868,-1217753351,111234,140441,21,3,11,24.95,27.82,
08/27/2024,20:45:38.61,08/28/2024,03:45:16.000,376965868,-1217753349,111255,140463,21,3,17,25.06,27.84,
08/27/2024,20:45:39.61,08/28/2024,03:45:17.000,376965869,-1217753347,111270,140477,21,3,4,25.08,27.85,
08/27/2024,20:45:40.61,08/28/2024,03:45:18.000,376965869,-1217753344,111261,140468,21,3,11,24.90,27.81,
08/27/2024,20:45:41.61,08/28/2024,03:45:19.000,376965868,-1217753341,111262,140470,21,3,6,24.92,27.86,
08/27/2024,20:45:42.61,08/28/2024,03:45:20.000,376965868,-1217753338,111233,140440,21,3,8,25.02,27.85,
08/27/2024,20:45:43.61,08/28/2024,03:45:21.000,376965868,-1217753334,111198,140406,21,3,1,24.76,27.88,
08/27/2024,20:45:44.61,08/28/2024,03:45:22.000,376965868,-1217753331,111135,140342,22,3,3,24.76,27.89,
08/27/2024,20:45:45.61,08/28/2024,03:45:23.000,376965867,-1217753327,111100,140308,22,3,4,24.85,27.88,
08/27/2024,20:45:46.61,08/28/2024,03:45:24.000,376965867,-1217753325,111054,140262,22,3,5,24.87,27.87,
08/27/2024,20:45:47.61,08/28/2024,03:45:25.000,376965868,-1217753323,110983,140191,22,3,8,24.83,27.86,
08/27/2024,20:45:48.61,08/28/2024,03:45:26.000,376965870,-1217753320,110954,140162,22,3,10,24.67,27.87,
08/27/2024,20:45:49.61,08/28/2024,03:45:27.000,376965871,-1217753318,110898,140105,22,3,7,24.80,27.89,
08/27/2024,20:45:50.61,08/28/2024,03:45:28.000,376965873,-1217753315,110845,140053,22,3,9,24.70,27.91,
08/27/2024,20:45:51.61,08/28/2024,03:45:29.000,376965874,-1217753313,110789,139997,22,3,5,24.61,27.87,
08/27/2024,20:45:52.61,08/28/2024,03:45:30.000,376965874,-1217753312,110732,139940,22,3,0,24.61,27.87,
08/27/2024,20:45:53.61,08/28/2024,03:45:31.000,376965875,-1217753311,110657,139865,22,3,12,24.63,27.88,
08/27/2024,20:45:54.61,08/28/2024,03:45:32.000,376965875,-1217753310,110601,139809,22,3,3,24.53,27.91,
08/27/2024,20:45:55.61,08/28/2024,03:45:33.000,376965875,-1217753309,110558,139765,22,3,16,24.54,27.91,
