rtcDate,rtcTime,gps_Date,gps_Time,gps_Lat,gps_Long,gps_AltMSL,gps_SIV,gps_GroundSpeed,gps_pDOP,humidity_%,degC,
08/27/2024,20:44:59.19,08/28/2024,03:44:53.000,376966190,-1217753349,136126,20,106,107,23.73,28.16,
08/27/2024,20:45:00.19,08/28/2024,03:44:54.000,376966045,-1217753638,137219,21,3,100,23.80,28.18,
08/27/2024,20:45:01.19,08/28/2024,03:44:55.000,376966151,-1217753712,138915,23,14,94,23.86,28.17,
08/27/2024,20:45:02.19,08/28/2024,03:44:56.000,376966177,-1217753737,139573,24,15,92,23.84,28.18,
08/27/2024,20:45:03.19,08/28/2024,03:44:58.000,376966162,-1217753762,139402,24,8,92,23.81,28.14,
08/27/2024,20:45:04.46,08/28/2024,03:44:59.000,376966152,-1217753762,139493,26,4,88,23.78,28.16,
08/27/2024,20:45:05.51,08/28/2024,03:45:00.000,376966160,-1217753771,139559,26,20,88,23.69,28.09,
08/27/2024,20:45:07.51,08/28/2024,03:45:02.000,376966158,-1217753769,139657,26,7,88,23.69,28.10,
08/27/2024,20:45:08.51,08/28/2024,03:45:03.000,376966160,-1217753770,139671,26,2,88,23.74,28.15,
08/27/2024,20:45:09.51,08/28/2024,03:45:04.000,376966162,-1217753769,139726,26,8,88,23.72,28.15,
08/27/2024,20:45:10.51,08/28/2024,03:45:05.000,376966164,-1217753769,139716,26,8,88,23.76,28.11,
08/27/2024,20:45:11.51,08/28/2024,03:45:06.000,376966166,-1217753768,139700,26,13,88,23.71,28.04,
08/27/2024,20:45:12.51,08/28/2024,03:45:07.000,376966168,-1217753768,139722,26,6,88,23.79,28.16,
08/27/2024,20:45:13.55,08/28/2024,03:45:08.000,376966167,-1217753767,139768,26,2,88,23.91,28.14,
08/27/2024,20:45:14.55,08/28/2024,03:45:09.000,376966167,-1217753766,139800,26,0,88,23.79,28.15,
08/27/2024,20:45:15.55,08/28/2024,03:45:10.000,376966165,-1217753766,139863,26,4,88,23.78,28.12,
08/27/2024,20:45:16.55,08/28/2024,03:45:12.000,376966165,-1217753769,139956,26,23,88,23.81,28.14,
08/27/2024,20:45:18.42,08/28/2024,03:45:13.000,376966165,-1217753771,140008,26,2,88,23.77,28.10,
08/27/2024,20:45:19.47,08/28/2024,03:45:14.000,376966164,-1217753772,140014,26,0,88,23.75,28.20,
08/27/2024,20:45:20.47,08/28/2024,03:45:15.000,376966163,-1217753772,140019,26,2,89,23.78,28.19,
08/27/2024,20:45:21.47,08/28/2024,03:45:16.000,376966161,-1217753772,140030,26,2,89,23.67,28.15,
08/27/2024,20:45:22.47,08/28/2024,03:45:17.000,376966158,-1217753772,140038,26,6,89,23.60,28.15,
08/27/2024,20:45:23.47,08/28/2024,03:45:18.000,376966154,-1217753772,140064,26,5,89,23.51,28.12,
08/27/2024,20:45:24.47,08/28/2024,03:45:19.000,376966150,-1217753771,140088,26,5,89,23.42,28.17,
08/27/2024,20:45:25.47,08/28/2024,03:45:20.000,376966146,-1217753769,140082,26,4,89,23.44,28.14,
08/27/2024,20:45:26.47,08/28/2024,03:45:21.000,376966143,-1217753767,140084,26,7,89,23.52,28.16,
08/27/2024,20:45:27.47,08/28/2024,03:45:22.000,376966140,-1217753765,140081,26,3,89,23.48,28.22,
08/27/2024,20:45:28.47,08/28/2024,03:45:23.000,376966137,-1217753764,140059,26,1,89,23.36,28.20,
08/27/2024,20:45:29.47,08/28/2024,03:45:24.000,376966134,-1217753763,140018,26,6,89,23.17,28.19,
08/27/2024,20:45:30.47,08/28/2024,03:45:25.000,376966131,-1217753762,139970,26,6,89,23.19,28.22,
08/27/2024,20:45:31.47,08/28/2024,03:45:26.000,376966128,-1217753760,139922,26,5,89,23.04,28.24,
08/27/2024,20:45:32.47,08/28/2024,03:45:27.000,376966124,-1217753759,139875,26,3,89,23.04,28.27,
08/27/2024,20:45:33.47,08/28/2024,03:45:28.000,376966122,-1217753756,139830,26,5,89,23.07,28.30,
08/27/2024,20:45:34.48,08/28/2024,03:45:29.000,376966120,-1217753753,139766,26,4,89,22.98,28.33,
