rtcDate,rtcTime,gps_Lat,gps_Long,gps_AltMSL,gps_GroundSpeed,humidity_%,degC,
09/04/2024,17:48:02.74,0,0,-17000,0,16.59,38.79,
09/04/2024,17:48:03.76,0,0,-17000,0,16.49,38.71,
09/04/2024,17:48:04.77,0,0,-17000,0,16.57,38.55,
09/04/2024,17:48:05.79,0,0,-17000,0,16.70,38.36,
09/04/2024,17:48:06.80,0,0,-17000,0,16.82,38.34,
09/04/2024,17:48:07.82,0,0,-17000,0,16.66,38.40,
09/04/2024,17:48:08.84,0,0,-17000,0,16.75,38.43,
09/04/2024,17:48:09.85,0,0,-17000,0,16.65,38.40,
09/04/2024,17:48:10.87,0,0,-17000,0,16.69,38.42,
09/04/2024,17:48:11.88,0,0,-17000,0,16.79,38.43,
09/04/2024,17:48:12.90,0,0,-17000,0,16.67,38.39,
09/04/2024,17:48:13.91,0,0,-17000,0,16.89,38.48,
09/04/2024,17:48:14.93,0,0,-17000,0,16.73,38.47,
09/04/2024,17:48:15.94,0,0,-17000,0,16.67,38.48,
09/04/2024,17:48:16.96,0,0,-17000,0,16.60,38.32,
09/04/2024,17:48:17.97,0,0,-17000,0,16.66,38.39,
09/04/2024,17:48:18.99,0,0,-17000,0,16.50,38.29,
09/04/2024,17:48:20.00,0,0,-17000,0,16.75,38.29,
09/04/2024,17:48:21.02,0,0,-17000,0,16.70,38.27,
09/04/2024,17:48:22.03,0,0,-17000,0,16.80,38.09,
09/04/2024,17:48:23.05,0,0,-17000,0,17.06,38.24,
09/04/2024,17:48:24.06,0,0,-17000,0,17.00,38.35,
09/04/2024,17:48:25.08,0,0,-17000,0,17.13,38.44,
09/04/2024,17:48:26.09,0,0,-17000,0,16.97,38.38,
09/04/2024,17:48:27.11,0,0,-17000,0,16.88,38.36,
09/04/2024,17:48:28.12,0,0,-17000,0,17.01,38.46,
09/04/2024,17:48:29.18,0,0,-17000,0,17.07,38.45,
09/04/2024,17:48:30.25,0,0,-17000,0,17.03,38.41,
09/04/2024,17:48:31.26,376764382,-1217393047,181234,35,16.90,38.38,
09/04/2024,17:48:32.28,376764354,-1217393070,181156,46,17.10,38.37,
09/04/2024,17:48:33.29,376764361,-1217393106,181162,6,17.07,38.27,
09/04/2024,17:48:34.31,376764360,-1217393134,180985,8,17.08,38.30,
09/04/2024,17:48:35.32,376764360,-1217393176,180641,29,17.02,38.06,
09/04/2024,17:48:36.34,376764363,-1217393204,180341,29,16.83,37.93,
09/04/2024,17:48:37.35,376764367,-1217393228,180118,30,17.05,37.96,
09/04/2024,17:48:38.36,376764368,-1217393232,179904,18,17.01,38.02,
09/04/2024,17:48:39.38,376764369,-1217393236,179734,10,16.91,37.95,
09/04/2024,17:48:40.39,376764370,-1217393229,179743,19,17.23,37.88,
09/04/2024,17:48:41.41,376764369,-1217393226,179637,31,17.23,37.77,
09/04/2024,17:48:42.42,376764367,-1217393219,179559,27,17.07,37.72,
09/04/2024,17:48:43.44,376764366,-1217393216,179432,34,17.35,37.63,
09/04/2024,17:48:44.45,376764364,-1217393211,179338,15,17.36,37.59,
09/04/2024,17:48:45.47,376764361,-1217393205,179263,4,17.50,37.58,
09/04/2024,17:48:46.48,376764358,-1217393201,179205,4,17.41,37.70,
09/04/2024,17:48:47.50,376764356,-1217393197,179142,2,17.38,37.79,
09/04/2024,17:48:48.51,376764355,-1217393193,179106,7,17.41,37.85,
09/04/2024,17:48:49.53,376764354,-1217393188,179076,7,17.32,37.84,
09/04/2024,17:48:50.54,376764353,-1217393189,178981,25,17.45,37.95,
09/04/2024,17:48:51.56,376764351,-1217393188,178898,8,17.19,37.83,
09/04/2024,17:48:52.57,376764351,-1217393189,178789,17,17.25,37.97,
09/04/2024,17:48:53.59,376764352,-1217393189,178711,18,17.16,37.94,
09/04/2024,17:48:54.60,376764352,-1217393185,178644,7,17.27,37.96,
09/04/2024,17:48:55.62,376764352,-1217393180,178583,14,17.15,37.94,
09/04/2024,17:48:56.63,376764352,-1217393182,178443,33,17.03,37.95,
09/04/2024,17:48:57.65,376764352,-1217393182,178342,13,16.88,37.80,
09/04/2024,17:48:58.66,376764351,-1217393180,178240,15,17.19,37.87,
09/04/2024,17:48:59.68,376764351,-1217393172,178091,6,17.14,37.67,
09/04/2024,17:49:01.06,376764351,-1217393169,178006,6,17.15,37.76,
09/04/2024,17:49:02.07,376764351,-1217393166,177912,3,16.92,37.69,
09/04/2024,17:49:03.09,376764352,-1217393165,177802,39,16.98,37.65,
09/04/2024,17:49:04.10,376764352,-1217393168,177673,51,17.28,37.68,
09/04/2024,17:49:05.12,376764355,-1217393169,177556,6,17.15,37.77,
09/04/2024,17:49:06.13,376764358,-1217393168,177455,39,17.19,37.75,
09/04/2024,17:49:07.15,376764360,-1217393168,177361,28,17.24,37.79,
09/04/2024,17:49:08.16,376764362,-1217393167,177260,22,17.09,37.86,
09/04/2024,17:49:09.18,376764362,-1217393165,177203,18,17.09,37.81,
09/04/2024,17:49:10.19,376764363,-1217393164,177132,11,17.11,37.97,
09/04/2024,17:49:11.21,376764363,-1217393163,177061,14,17.19,37.93,
09/04/2024,17:49:12.22,376764364,-1217393161,177024,25,16.98,37.96,
09/04/2024,17:49:13.24,376764366,-1217393161,176938,11,17.14,38.04,
09/04/2024,17:49:15.03,376764369,-1217393160,176927,8,17.17,38.15,
09/04/2024,17:49:16.09,376764369,-1217393157,176823,11,17.05,38.12,
09/04/2024,17:49:17.25,376764369,-1217393156,176724,44,16.88,38.18,
09/04/2024,17:49:18.26,376764369,-1217393154,176659,17,16.93,38.12,
09/04/2024,17:49:19.27,376764370,-1217393151,176598,8,16.89,38.18,
09/04/2024,17:49:20.29,376764370,-1217393149,176535,5,16.84,38.15,
09/04/2024,17:49:21.30,376764370,-1217393148,176508,3,16.97,37.99,
09/04/2024,17:49:22.32,376764371,-1217393145,176457,85,17.05,38.06,
09/04/2024,17:49:23.33,376764377,-1217393144,176415,284,17.15,38.11,
09/04/2024,17:49:24.35,376764397,-1217393144,176311,617,17.25,38.12,
09/04/2024,17:49:25.36,376764445,-1217393144,176228,902,17.15,37.93,
09/04/2024,17:49:26.38,376764519,-1217393142,176228,664,16.96,37.83,
09/04/2024,17:49:28.07,376764671,-1217393111,176125,658,16.90,37.72,
09/04/2024,17:49:29.08,376764728,-1217393088,175955,1259,16.79,37.72,
09/04/2024,17:49:30.10,376764808,-1217393020,175836,1819,16.89,37.83,
09/04/2024,17:49:31.11,376764900,-1217392876,175964,2213,16.97,37.76,
09/04/2024,17:49:32.13,376764974,-1217392659,176116,2873,16.81,37.99,
09/04/2024,17:49:33.14,376764998,-1217392365,176160,3697,16.69,37.98,
09/04/2024,17:49:34.16,376764983,-1217391976,176098,4331,16.84,37.94,
09/04/2024,17:49:35.17,376764970,-1217391507,176142,4891,16.82,37.90,
09/04/2024,17:49:36.18,376764964,-1217390973,176122,5411,16.78,37.77,
09/04/2024,17:49:37.20,376764964,-1217390378,176168,5842,16.84,37.66,
09/04/2024,17:49:38.21,376764966,-1217389731,176180,6676,16.89,37.59,
09/04/2024,17:49:39.23,376764967,-1217389003,176198,7240,16.97,37.45,
09/04/2024,17:49:40.24,376764965,-1217388202,176245,7396,17.02,37.30,
09/04/2024,17:49:41.26,376764962,-1217387369,176186,7376,17.09,37.12,
09/04/2024,17:49:42.27,376764956,-1217386532,176281,7411,17.31,37.11,
09/04/2024,17:49:43.29,376764950,-1217385691,175902,7217,17.37,36.98,
09/04/2024,17:49:44.30,376764945,-1217384868,175849,6968,17.43,36.70,
09/04/2024,17:49:45.32,376764952,-1217384072,175847,6585,17.72,36.54,
09/04/2024,17:49:46.33,376764983,-1217383318,175868,6295,17.77,36.47,
09/04/2024,17:49:47.34,376765060,-1217382607,175936,6079,17.67,36.56,
09/04/2024,17:49:48.36,376765212,-1217381942,175829,5944,18.01,36.55,
09/04/2024,17:49:49.37,376765452,-1217381340,175772,5996,18.24,36.34,
09/04/2024,17:49:50.39,376765788,-1217380816,175727,6085,18.49,36.34,
09/04/2024,17:49:51.40,376766215,-1217380391,175705,6250,18.57,36.16,
09/04/2024,17:49:52.42,376766718,-1217380095,175594,6462,18.55,36.02,
09/04/2024,17:49:53.43,376767277,-1217379936,175583,6805,18.44,35.82,
09/04/2024,17:49:54.44,376767878,-1217379858,175477,7141,18.72,35.79,
09/04/2024,17:49:55.46,376768512,-1217379791,175354,7505,18.70,35.58,
09/04/2024,17:49:56.47,376769176,-1217379719,175318,7704,18.99,35.58,
09/04/2024,17:49:57.49,376769863,-1217379651,175226,7718,19.10,35.45,
09/04/2024,17:49:58.50,376770556,-1217379580,175146,7684,19.29,35.38,
09/04/2024,17:49:59.51,376771246,-1217379500,175093,7424,19.55,35.23,
09/04/2024,17:50:00.53,376771920,-1217379427,174975,7200,19.71,35.23,
09/04/2024,17:50:01.54,376772575,-1217379418,174895,7200,19.65,35.12,
09/04/2024,17:50:02.56,376773768,-1217379784,174877,6775,19.62,35.16,
09/04/2024,17:50:03.57,376774291,-1217380204,174857,6960,19.92,35.15,
09/04/2024,17:50:04.58,376774785,-1217380755,174844,7471,19.67,35.16,
