rtcDate,rtcTime,gps_Lat,gps_Long,gps_AltMSL,gps_GroundSpeed,humidity_%,degC,
10/06/2024,21:20:03.34,376967255,-1217754576,138990,204,25.79,26.93,
10/06/2024,21:20:04.34,376967186,-1217754664,142635,8,25.86,26.90,
10/06/2024,21:20:05.35,376967122,-1217754588,140801,11,25.75,26.89,
10/06/2024,21:20:06.35,376967118,-1217754540,141243,19,25.73,26.92,
10/06/2024,21:20:07.35,376967159,-1217754509,141538,8,25.70,26.91,
10/06/2024,21:20:08.35,376967144,-1217754539,142056,15,25.82,26.94,
10/06/2024,21:20:09.35,376967116,-1217754554,142515,10,25.73,26.90,
10/06/2024,21:20:10.35,376967084,-1217754567,142917,14,25.77,26.91,
10/06/2024,21:20:11.35,376967059,-1217754578,143293,13,25.82,26.94,
10/06/2024,21:20:12.36,376967054,-1217754564,143300,9,25.83,26.93,
10/06/2024,21:20:13.36,376967048,-1217754549,143314,5,25.74,26.90,
10/06/2024,21:20:14.36,376967040,-1217754536,143240,16,25.79,26.90,
10/06/2024,21:20:15.36,376967032,-1217754528,143247,9,25.78,26.93,
10/06/2024,21:20:16.36,376967024,-1217754523,143323,1,25.82,26.94,
10/06/2024,21:20:17.36,376967017,-1217754516,143331,6,25.85,26.88,
10/06/2024,21:20:18.36,376967007,-1217754514,143373,20,25.81,26.90,
10/06/2024,21:20:19.36,376966997,-1217754513,143404,19,25.84,26.90,
10/06/2024,21:20:20.37,376966983,-1217754519,143571,17,25.83,26.87,
10/06/2024,21:20:21.37,376966975,-1217754516,143593,23,26.02,26.93,
10/06/2024,21:20:22.37,376966974,-1217754514,143483,29,25.88,26.90,
10/06/2024,21:20:23.37,376966974,-1217754507,143249,12,25.82,26.88,
10/06/2024,21:20:25.24,376966971,-1217754503,143215,4,25.77,26.89,
10/06/2024,21:20:26.30,376966970,-1217754499,143178,15,25.80,26.89,
10/06/2024,21:20:27.30,376966969,-1217754491,143069,23,25.71,26.90,
