rtcDate,rtcTime,gps_Lat,gps_Long,gps_AltMSL,gps_GroundSpeed,humidity_%,degC,
09/03/2024,21:25:27.97,376965385,-1217753487,141859,49,35.91,25.38,
09/03/2024,21:25:28.98,376965671,-1217753325,136301,19,36.18,25.42,
09/03/2024,21:25:29.99,376965716,-1217753389,134773,8,36.07,25.31,
09/03/2024,21:25:31.00,376965728,-1217753416,134614,7,36.22,25.35,
09/03/2024,21:25:32.00,376965733,-1217753436,134301,7,36.49,25.43,
09/03/2024,21:25:33.01,376965732,-1217753454,134271,10,36.62,25.38,
09/03/2024,21:25:34.02,376965735,-1217753477,134431,12,36.61,25.33,
09/03/2024,21:25:35.02,376965747,-1217753475,134475,16,36.73,25.38,
09/03/2024,21:25:36.03,376965760,-1217753470,134637,11,36.69,25.32,
09/03/2024,21:25:37.04,376965762,-1217753474,134767,2,36.91,25.38,
09/03/2024,21:25:38.05,376965765,-1217753478,134897,8,36.86,25.25,
09/03/2024,21:25:39.05,376965763,-1217753475,134949,4,36.75,25.32,
09/03/2024,21:25:40.06,376965760,-1217753475,135071,4,36.83,25.34,
09/03/2024,21:25:41.07,376965759,-1217753479,135205,6,36.77,25.35,
09/03/2024,21:25:42.08,376965755,-1217753479,135280,3,36.83,25.42,
09/03/2024,21:25:43.08,376965753,-1217753480,135351,7,36.91,25.42,
09/03/2024,21:25:44.09,376965751,-1217753479,135402,6,36.89,25.33,
09/03/2024,21:25:45.10,376965748,-1217753476,135446,4,36.93,25.34,
09/03/2024,21:25:46.10,376965747,-1217753473,135445,3,36.98,25.41,
09/03/2024,21:25:47.11,376965745,-1217753470,135441,1,37.16,25.42,
09/03/2024,21:25:48.12,376965744,-1217753468,135434,11,37.01,25.27,
09/03/2024,21:25:49.13,376965744,-1217753466,135402,2,37.43,25.37,
09/03/2024,21:25:50.13,376965744,-1217753461,135437,5,37.47,25.34,
09/03/2024,21:25:51.81,376965737,-1217753458,135423,4,37.54,25.34,
09/03/2024,21:25:52.82,376965735,-1217753456,135414,3,37.96,25.36,
09/03/2024,21:25:53.83,376965732,-1217753453,135414,2,37.80,25.38,
09/03/2024,21:25:54.84,376965729,-1217753450,135441,10,37.87,25.30,
09/03/2024,21:25:55.84,376965724,-1217753449,135456,3,38.09,25.33,
09/03/2024,21:25:56.88,376965720,-1217753447,135467,6,37.95,25.42,
09/03/2024,21:25:57.89,376965719,-1217753446,135472,5,37.83,25.32,
