rtcDate,rtcTime,gps_Lat,gps_Long,gps_AltMSL,gps_GroundSpeed,humidity_%,degC,Unnamed: 8,SourceFile,timestamp,Longitude,Latitude,Altitude,time_delta,temperature_correction,corrected_temperature
09/04/2024,1900-01-01 17:49:32.130,376764974,-1217392659,176116,2873,16.81,37.99,,Unit0_dataLog00062.TXT,2024-09-04 17:49:32.130,-121.73926589999999,37.676497399999995,176.116,0.0,-0.0,37.99
09/04/2024,1900-01-01 17:49:33.140,376764998,-1217392365,176160,3697,16.69,37.98,,Unit0_dataLog00062.TXT,2024-09-04 17:49:33.140,-121.73923649999999,37.676499799999995,176.16,1.01,-0.0,37.98
09/04/2024,1900-01-01 17:49:34.160,376764983,-1217391976,176098,4331,16.84,37.94,,Unit0_dataLog00062.TXT,2024-09-04 17:49:34.160,-121.7391976,37.6764983,176.098,2.03,-0.0,37.94
09/04/2024,1900-01-01 17:49:35.170,376764970,-1217391507,176142,4891,16.82,37.9,,Unit0_dataLog00062.TXT,2024-09-04 17:49:35.170,-121.7391507,37.676497,176.142,3.04,-0.0,37.9
09/04/2024,1900-01-01 17:49:36.180,376764964,-1217390973,176122,5411,16.78,37.77,,Unit0_dataLog00062.TXT,2024-09-04 17:49:36.180,-121.7390973,37.6764964,176.122,4.05,-0.0,37.77
09/04/2024,1900-01-01 17:49:37.200,376764964,-1217390378,176168,5842,16.84,37.66,,Unit0_dataLog00062.TXT,2024-09-04 17:49:37.200,-121.73903779999999,37.6764964,176.168,5.07,-0.0,37.66
09/04/2024,1900-01-01 17:49:38.210,376764966,-1217389731,176180,6676,16.89,37.59,,Unit0_dataLog00062.TXT,2024-09-04 17:49:38.210,-121.7389731,37.6764966,176.18,6.08,-0.0,37.59
09/04/2024,1900-01-01 17:49:39.230,376764967,-1217389003,176198,7240,16.97,37.45,,Unit0_dataLog00062.TXT,2024-09-04 17:49:39.230,-121.7389003,37.6764967,176.198,7.1,-0.0,37.45
09/04/2024,1900-01-01 17:49:40.240,376764965,-1217388202,176245,7396,17.02,37.3,,Unit0_dataLog00062.TXT,2024-09-04 17:49:40.240,-121.73882019999999,37.6764965,176.245,8.11,-0.0,37.3
09/04/2024,1900-01-01 17:49:41.260,376764962,-1217387369,176186,7376,17.09,37.12,,Unit0_dataLog00062.TXT,2024-09-04 17:49:41.260,-121.73873689999999,37.676496199999995,176.186,9.13,-0.0,37.12
09/04/2024,1900-01-01 17:49:42.270,376764956,-1217386532,176281,7411,17.31,37.11,,Unit0_dataLog00062.TXT,2024-09-04 17:49:42.270,-121.73865319999999,37.676495599999996,176.281,10.14,-0.0,37.11
09/04/2024,1900-01-01 17:49:43.290,376764950,-1217385691,175902,7217,17.37,36.98,,Unit0_dataLog00062.TXT,2024-09-04 17:49:43.290,-121.73856909999999,37.676494999999996,175.90200000000002,11.16,-0.0,36.98
09/04/2024,1900-01-01 17:49:44.300,376764945,-1217384868,175849,6968,17.43,36.7,,Unit0_dataLog00062.TXT,2024-09-04 17:49:44.300,-121.73848679999999,37.6764945,175.849,12.17,-0.0,36.7
09/04/2024,1900-01-01 17:49:45.320,376764952,-1217384072,175847,6585,17.72,36.54,,Unit0_dataLog00062.TXT,2024-09-04 17:49:45.320,-121.7384072,37.6764952,175.847,13.19,-0.0,36.54
09/04/2024,1900-01-01 17:49:46.330,376764983,-1217383318,175868,6295,17.77,36.47,,Unit0_dataLog00062.TXT,2024-09-04 17:49:46.330,-121.7383318,37.6764983,175.868,14.2,-0.0,36.47
